Implementation smell,Namespace,Class,File,Method,Description
Long Statement,StudentEntryFormApp,Department,C:\repos\RizwanRumi_ASP.Net_C_sharp\05-08-2014-BITM\StudentEntryFormApp\StudentEntryFormApp\Department.cs,Addstudent,The length of the statement  "		return "Maximum no of students (" + MAX_NO_OF_STUDENTS + ") has been saved. So' provided student information is not saved."; " is 124.
Long Statement,StudentEntryFormApp,StudentEntryUI,C:\repos\RizwanRumi_ASP.Net_C_sharp\05-08-2014-BITM\StudentEntryFormApp\StudentEntryFormApp\StudentEntryUI.cs,showAllButton_Click,The length of the statement  "	string msg = "dept Id: " + departmentName.Code + " dept. name : " + departmentName.DeptName + "\n" + "Reg no:\t Name \t email \n"; " is 130.
Magic Number,StudentEntryFormApp,Department,C:\repos\RizwanRumi_ASP.Net_C_sharp\05-08-2014-BITM\StudentEntryFormApp\StudentEntryFormApp\Department.cs,Addstudent,The following statement contains a magic number: if (aDictionary.Count < 15) {  	//string reg = StudentObj.RegNo;  	//if (aDictionary.ContainsKey(reg))  	//{  	//    return "already exists";  	//}  	//aDictionary.Add(reg' StudentObj);  	//return "Successfully regestered";  	try {  		string reg = StudentObj.RegNo;  		aDictionary.Add (reg' StudentObj);  		return "Successfully regestered";  	}  	catch (ArgumentException exception) {  		return "Already Exists";  		//throw new Exception("Already Exist");  	}  }  else {  	return "Maximum no of students (" + MAX_NO_OF_STUDENTS + ") has been saved. So' provided student information is not saved.";  }  
