Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Examples.TelerikWindowManager,PopupView,C:\repos\vcaraulean_Caliburn.Micro.Telerik\WPF\Examples.RadWindowManager\PopupView.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Examples.TelerikWindowManager;component/popupview.xaml"' System.UriKind.Relative); " is 128.
Long Statement,Examples.TelerikWindowManager,ShellViewModel,C:\repos\vcaraulean_Caliburn.Micro.Telerik\WPF\Examples.RadWindowManager\ShellViewModel.cs,ShowPrompt,The length of the statement  "			windowManager.Prompt("Give me"' "A value (default is 'something'):"' "something"' s => windowManager.Alert("Prompt value"' "Is: " + s)); " is 136.
Long Statement,Examples.TelerikWindowManager,App,C:\repos\vcaraulean_Caliburn.Micro.Telerik\WPF\Examples.RadWindowManager\App.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Examples.TelerikWindowManager;component/app.xaml"' System.UriKind.Relative); " is 122.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,C:\repos\vcaraulean_Caliburn.Micro.Telerik\WPF\Examples.RadWindowManager\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Magic Number,Examples.TelerikWindowManager,PopupView,C:\repos\vcaraulean_Caliburn.Micro.Telerik\WPF\Examples.RadWindowManager\PopupView.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.LayoutRoot = ((System.Windows.Controls.Grid)(target));              return;              case 2:              this.Close = ((System.Windows.Controls.Button)(target));              return;              }
Missing Default,Examples.TelerikWindowManager,PopupView,C:\repos\vcaraulean_Caliburn.Micro.Telerik\WPF\Examples.RadWindowManager\PopupView.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.LayoutRoot = ((System.Windows.Controls.Grid)(target));              return;              case 2:              this.Close = ((System.Windows.Controls.Button)(target));              return;              }
