Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest1,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest1.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest2,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest2.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest5,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest5.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest6,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest6.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest7,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest7.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest8,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest8.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest9,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest9.html" ) ); " is 122.
Long Statement,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest10,The length of the statement  "      var document = new JumonyParser().LoadDocument( Path.Combine( Environment.CurrentDirectory' "SpecificationTest10.html" ) ); " is 123.
Magic Number,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest5,The following statement contains a magic number: Assert.AreEqual( specials.Count()' 4' "特殊标签解析数量不对" );
Magic Number,SpeficationTest,SpecificationTest,D:\research\architectureSmells\repos\Ivony_Jumony\SpeficationTest\SpecificationTest.cs,SpecificationTest8,The following statement contains a magic number: Assert.AreEqual( links.Length' 2' "错误的解析了不属于属性值的引用内容" );
