Implementation smell,Namespace,Class,File,Method,Description
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( "^"+Regulars.tagNamePattern+"$"' RegexOptions.Compiled | RegexOptions.CultureInvariant | RegexOptions.Singleline | RegexOptions.ExplicitCapture' "TagName"' "Ivony.Html.Parser.Regulars"' true )' " is 219.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( "^"+Regulars.attributeNamePattern+"$"' RegexOptions.Compiled | RegexOptions.CultureInvariant |  RegexOptions.Singleline |RegexOptions.ExplicitCapture' "AttributeName"' "Ivony.Html.Parser.Regulars"' true )' " is 231.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( Regulars.attributePattern' RegexOptions.Compiled | RegexOptions.CultureInvariant | RegexOptions.Singleline | RegexOptions.ExplicitCapture' "Attribute"' "Ivony.Html.Parser.Regulars"' true )' " is 215.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( @"\G"+Regulars.beginTagPattern+"$"' RegexOptions.Compiled | RegexOptions.CultureInvariant |  RegexOptions.Singleline |RegexOptions.ExplicitCapture' "BeginTag"' "Ivony.Html.Parser.Regulars"' true )' " is 223.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( @"\G"+Regulars.endTagPattern+"$"' RegexOptions.Compiled | RegexOptions.CultureInvariant | RegexOptions.Singleline | RegexOptions.ExplicitCapture' "EndTag"' "Ivony.Html.Parser.Regulars"' true )' " is 219.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( @"\G"+Regulars.doctypeDeclarationPattern+"$"' RegexOptions.Compiled | RegexOptions.CultureInvariant | RegexOptions.Singleline | RegexOptions.ExplicitCapture' "DoctypeDeclaration"' "Ivony.Html.Parser.Regulars"' true )' " is 243.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( @"\G"+Regulars.commentPattern' RegexOptions.Compiled | RegexOptions.CultureInvariant | RegexOptions.Singleline | RegexOptions.ExplicitCapture' "CommentTag"' "Ivony.Html.Parser.Regulars"' true )' " is 220.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( @"\G"+Regulars.specialTagPattern' RegexOptions.Compiled | RegexOptions.CultureInvariant |  RegexOptions.Singleline |RegexOptions.ExplicitCapture' "SpecialTag"' "Ivony.Html.Parser.Regulars"' true )' " is 223.
Long Statement,RegularsAssemblyBuilder,Program,D:\research\architectureSmells\repos\Ivony_Jumony\RegularsAssemblyBuilder\Program.cs,GetRegexCompilationInfos,The length of the statement  "        new RegexCompilationInfo( @"\G(?<tag>\<.+?\>)"' RegexOptions.Compiled | RegexOptions.CultureInvariant | RegexOptions.Singleline | RegexOptions.ExplicitCapture' "HtmlTag"' "Ivony.Html.Parser.Regulars"' true )' " is 208.
