Implementation smell,Namespace,Class,File,Method,Description
Complex Method,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,GraphDS_Server,Cyclomatic complexity of the method is 11
Long Statement,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,LoadIUsageDataCollector,The length of the statement  "            return _pluginManager.GetAndInitializePlugin<IUsageDataCollector>(myIUsageDataCollector.NameOfPlugin' myParameter: myIUsageDataCollector.PluginParameter); " is 154.
Long Statement,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,LoadIDrainPipes,The length of the statement  "            return _pluginManager.GetAndInitializePlugin<IDrainPipe>(myIDrainPipesPlugin.NameOfPlugin' myParameter: myIDrainPipesPlugin.PluginParameter); " is 141.
Long Statement,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,LoadIGraphQLPlugins,The length of the statement  "            return _pluginManager.GetAndInitializePlugin<IGraphQL>(myIGraphQLPlugin.NameOfPlugin' myParameter: myIGraphQLPlugin.PluginParameter); " is 133.
Long Statement,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,StartService,The length of the statement  "                    throw new ServiceException("An error occured when trying to initialize " + myServiceName + "!" + Environment.NewLine + "See inner exception for details."' Ex); " is 159.
Long Statement,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,StartService,The length of the statement  "                throw new ServiceException("An error occured when trying to start " + myServiceName + "!" + Environment.NewLine + "See inner exception for details."' Ex); " is 154.
Long Statement,sones.GraphDSServer,GraphDS_Server,C:\repos\sones_sones\GraphDS\Server\Implementations\GraphDSServer\GraphDSServer.cs,Query,The length of the statement  "                throw new QueryLanguageNotFoundException(String.Format("The GraphDS server does not support the query language {0}"' myQueryLanguageName)); " is 139.
