Implementation smell,Namespace,Class,File,Method,Description
Long Statement,PWManage,FrmManage,C:\repos\hdkn235_PasswordTool\PWManage\PWManage\FrmManage.cs,dgvInfos_CellDoubleClick,The length of the statement  "	txtPw.Text = userInfo.GetStr (dgvInfos.Rows [e.RowIndex].Cells ["type"].Value.ToString ()' dgvInfos.Rows [e.RowIndex].Cells ["pw"].Value.ToString ()' UserInfoOperation.CryptMode.Decrypt); " is 187.
Long Statement,PWManage,FrmManage,C:\repos\hdkn235_PasswordTool\PWManage\PWManage\FrmManage.cs,btnDel_Click,The length of the statement  "	if (MessageBox.Show (this' "您确定要删除选择的密码信息吗？"' "提示"' MessageBoxButtons.YesNo' MessageBoxIcon.Question) == System.Windows.Forms.DialogResult.No) " is 142.
