Implementation smell,Namespace,Class,File,Method,Description
Complex Method,BuildingBlocks.Mvc.Helpers,ListInputBuilder,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.Mvc\Helpers\ListInputBuilder.cs,Render,Cyclomatic complexity of the method is 8
Long Statement,BuildingBlocks.Mvc.Helpers,RadioButtonListExtensions,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.Mvc\Helpers\RadioButtonListExtensions.cs,RadioButtonListFor,The length of the statement  "            return RadioButtonListFor(htmlHelper' expression' inputList' HtmlHelper.AnonymousObjectToHtmlAttributes(htmlAttributes)); " is 121.
Magic Number,BuildingBlocks.Mvc,UrlExtensions,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.Mvc\UrlExtensions.cs,ToPublicUrl,The following statement contains a magic number: var uriBuilder = new UriBuilder                  {                      Host = httpContext.Request.Url.Host'                      Path = "/"'                      Port = 80'                      Scheme = "http"'                  };
