Implementation smell,Namespace,Class,File,Method,Description
Long Statement,EQueue.MessageStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_equeue\src\EQueue.MessageStorePerfTests\Program.cs,InitializeEQueue,The length of the statement  "            BrokerController.Create(new BrokerSetting(false' ConfigurationManager.AppSettings["fileStoreRootPath"]' enableCache: false' syncFlush: bool.Parse(ConfigurationManager.AppSettings["syncFlush"]))); " is 195.
Long Statement,EQueue.MessageStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_equeue\src\EQueue.MessageStorePerfTests\Program.cs,WriteMessagePerfTest,The length of the statement  "            var threadCount = int.Parse(ConfigurationManager.AppSettings["concurrentThreadCount"]);                         //并行写消息的线程数 " is 123.
Long Statement,EQueue.MessageStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_equeue\src\EQueue.MessageStorePerfTests\Program.cs,WriteMessagePerfTest,The length of the statement  "            var messageSize = int.Parse(ConfigurationManager.AppSettings["messageSize"]);                                   //消息大小，字节为单位 " is 124.
Long Statement,EQueue.MessageStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_equeue\src\EQueue.MessageStorePerfTests\Program.cs,WriteMessagePerfTest,The length of the statement  "            var messageCount = int.Parse(ConfigurationManager.AppSettings["messageCount"]);                                 //总共要写入的消息数 " is 123.
Long Statement,EQueue.MessageStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_equeue\src\EQueue.MessageStorePerfTests\Program.cs,WriteMessagePerfTest,The length of the statement  "            var batchSize = int.Parse(ConfigurationManager.AppSettings["batchSize"]);                                       //批量持久化大小 " is 121.
Magic Number,EQueue.MessageStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_equeue\src\EQueue.MessageStorePerfTests\Program.cs,WriteMessagePerfTest,The following statement contains a magic number: messages.Add(new Message(topic' 100' payload));
