Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NDerive,DerivedAssemblyMerger,D:\newReposJune17\sucaba_IronTextLibrary\Src\Tools\MergeDerived\DerivedAssemblyMerger.cs,Merge,The length of the statement  "	context.BeginDocument ().AssemblyRewrite (source.FullName).CustomAttribute (context.Types.Import (typeof(DerivedAssemblyMarker))).EndAssembly ().Do (compile).EndDocument (); " is 173.
Long Statement,NDerive,Program,D:\newReposJune17\sucaba_IronTextLibrary\Src\Tools\MergeDerived\Program.cs,Main,The length of the statement  "	var output = new FileInfo (Path.Combine (Path.GetDirectoryName (input.FullName)' Path.GetFileNameWithoutExtension (input.FullName) + ".Merged" + Path.GetExtension (input.FullName))); " is 182.
Long Statement,NDerive,Program,D:\newReposJune17\sucaba_IronTextLibrary\Src\Tools\MergeDerived\Program.cs,Main,The length of the statement  "	var merger = (DerivedAssemblyMerger)domain.CreateInstanceAndUnwrap (typeof(DerivedAssemblyMerger).Assembly.FullName' typeof(DerivedAssemblyMerger).FullName); " is 157.
