Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,ElasticAnalytics.Repository.Elasticsearch.Client,EsClient,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\EsClient.cs,Save,The method has 5 parameters.
Long Parameter List,ElasticAnalytics.Repository.Elasticsearch.Client,EsClient,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\EsClient.cs,Delete,The method has 5 parameters.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Client,ElasticClientFactory,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\ElasticClientFactory.cs,Create,The length of the statement  "		throw new ArgumentNullException (ElasticAnalyticsSettings.SettingsKeys.EsConnectionString' "No ES connection string was present"); " is 130.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Client,ElasticClientFactory,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\ElasticClientFactory.cs,Create,The length of the statement  "	return new ElasticClient (new ConnectionSettings (uri: new Uri (connectionString)).DisableAutomaticProxyDetection (false).AddContractJsonConverters (this.converters.Select<JsonConverter' Func<Type' JsonConverter>> (c => type => c.CanConvert (type) ? c : null).ToArray ())); " is 273.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Client,EsClient,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\EsClient.cs,Create,The length of the statement  "	return this.client.Index (doc' q => q.Index (qCtx.Index).Type (qCtx.Type).Id (doc._id).Consistency (Consistency.Quorum).Replication (Replication.Async).OpType (OpType.Create).Routing (qCtx.ShardKey ?? doc._id)); " is 211.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Client,EsClient,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\EsClient.cs,Save,The length of the statement  "	query.Index (qCtx.Index).Type (qCtx.Type).Id (doc._id).Consistency (Consistency.Quorum).Replication (Replication.Async).Routing (qCtx.ShardKey ?? doc._id); " is 155.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Client,EsClient,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Client\EsClient.cs,Delete,The length of the statement  "	query.Index (qCtx.Index).Type (qCtx.Type).Id (id).Consistency (Consistency.Quorum).Replication (Replication.Async).Routing (qCtx.ShardKey ?? id); " is 145.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Extensions,ResponseExtensions,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Extensions\IResponseExtensions.cs,DocumentNotFound,The length of the statement  "	return !response.Found && (response.ServerError != null && string.IsNullOrWhiteSpace (response.ServerError.ExceptionType)) && response.ConnectionStatus.HttpStatusCode == 404; " is 174.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsConcurrencyControlRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsConcurrencyControlRepository.cs,Create,The length of the statement  "	var res = this.client.Create (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' repoDoc' ctx); " is 164.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsConcurrencyControlRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsConcurrencyControlRepository.cs,Get,The length of the statement  "	var res = this.client.Get<TRepo> (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' entityId.ToString ()' ctx); " is 181.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsConcurrencyControlRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsConcurrencyControlRepository.cs,Save,The length of the statement  "	var res = this.client.Save (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' repoDoc' ctx); " is 162.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsConcurrencyControlRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsConcurrencyControlRepository.cs,SaveOptimistically,The length of the statement  "	var res = this.client.Save (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' repoEntity' ctx' entity.Version); " is 181.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsConcurrencyControlRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsConcurrencyControlRepository.cs,Delete,The length of the statement  "	var res = this.client.Delete<TRepo> (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' entityId.ToString ()' ctx); " is 184.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsConcurrencyControlRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsConcurrencyControlRepository.cs,DeleteOptimistically,The length of the statement  "	var res = this.client.Delete<TRepo> (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' entityId.ToString ()' ctx' version); " is 193.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsRepository.cs,Create,The length of the statement  "	var res = this.client.Create (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' repoDoc' ctx); " is 164.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsRepository.cs,Get,The length of the statement  "	var res = this.client.Get<TRepo> (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' entityId.ToString ()' ctx); " is 181.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsRepository.cs,Save,The length of the statement  "	var res = this.client.Save (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' repoDoc' ctx); " is 162.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Repositories,EsRepository,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Repositories\EsRepository.cs,Delete,The length of the statement  "	var res = this.client.Delete<TRepo> (new EsQueryContext (this.requestConfig.GenerateIndexIdentifier (ctx)' this.requestConfig.GenerateTypeIdentifier (ctx))' entityId.ToString ()' ctx); " is 184.
Long Statement,ElasticAnalytics.Repository.Elasticsearch.Serialization,EsApiFriendlyGuidConverter,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Serialization\EsApiFriendlyGuidConverter.cs,WriteJson,The length of the statement  "		throw new JsonSerializationException (string.Format ("Unexpected value when converting Guid. Expected System.Guid' got {0}."' value.GetType ().FullName)); " is 154.
Magic Number,ElasticAnalytics.Repository.Elasticsearch.Extensions,ResponseExtensions,C:\repos\trevorreeves_Sitecore-ElasticAnalytics\code\ElasticAnalytics.Repository.Elasticsearch\Extensions\IResponseExtensions.cs,DocumentAlreadyExists,The following statement contains a magic number: return response.ServerError != null && response.ServerError.Status == 409;  
