Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DokumentVersionierung,ClassDokumentHelper,C:\repos\felixlindemann_Dokumentversionierung\DokumentVersionierung\DokumentVersionierung\ClassDokumentHelper.cs,Save,The length of the statement  "		String strFileName = String.Format (@"{0}\{1} - v.{2}.{3}.{4}.docx"' f.Directory.FullName' DocTitle' Revision' Version' Build); " is 127.
Long Statement,DokumentVersionierung,ClassDokumentHelper,C:\repos\felixlindemann_Dokumentversionierung\DokumentVersionierung\DokumentVersionierung\ClassDokumentHelper.cs,Save,The length of the statement  "		doc.SaveAs (ref fileName' ref format' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing' ref missing); " is 220.
