Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Sdl.Web.Site,MvcApplication,C:\repos\bkoopman_tri\web-application\Site\Global.asax.cs,Application_Start,The length of the statement  "            SiteConfiguration.StaticFileManager = (IStaticFileManager)DependencyResolver.Current.GetService(typeof(IStaticFileManager)); " is 124.
Magic Number,Sdl.Web.Site.Areas.Core.Controllers,PageController,C:\repos\bkoopman_tri\web-application\Site\Areas\Core\Controllers\PageController.cs,ServerError,The following statement contains a magic number: Response.StatusCode = 500;
Magic Number,Sdl.Web.Site,MvcApplication,C:\repos\bkoopman_tri\web-application\Site\Global.asax.cs,ShowCustomErrorPage,The following statement contains a magic number: if (httpException == null)                  httpException = new HttpException(500' "Internal Server Error"' exception);
