Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Sdl.Web.Modules.Search,SearchController,C:\repos\bkoopman_tri\web-application\Modules\Search\Sdl.Web.Modules.Search\SearchController.cs,ProcessModel,The length of the statement  "                var searchIndex = SiteConfiguration.GetConfig("search." + (SiteConfiguration.IsStaging ? "staging" : "live") + "IndexConfig"); " is 126.
Long Statement,Sdl.Web.Modules.Search.Solr,SolrProvider,C:\repos\bkoopman_tri\web-application\Modules\Search\Sdl.Web.Modules.Search\Solr\SolrProvider.cs,MapResult,The length of the statement  "            throw new Exception("Currently only Sdl.Web.Common.Models.Teaser and SI4T.Query.Models.SearchResult are supported model generic types"); " is 136.
Magic Number,Sdl.Web.Modules.Search,SearchQuery<T>,C:\repos\bkoopman_tri\web-application\Modules\Search\Sdl.Web.Modules.Search\Models\SearchQuery.cs,SearchQuery,The following statement contains a magic number: PageSize = 10;
