Implementation smell,Namespace,Class,File,Method,Description
Complex Conditional,VersionExtractor,Program,D:\research\architectureSmells\repos\yyoon_Journaley\VersionExtractor\Program.cs,Main,The conditional expression  "args.Length != 2 ||                  !File.Exists(args[0]) ||                  (args[1] != "Stable" && args[1] != "Develop")"  is complex.
Magic Number,VersionExtractor,Program,D:\research\architectureSmells\repos\yyoon_Journaley\VersionExtractor\Program.cs,Main,The following statement contains a magic number: args.Length != 2 ||                  !File.Exists(args[0]) ||                  (args[1] != "Stable" && args[1] != "Develop")
