Implementation smell,Namespace,Class,File,Method,Description
Virtual Method Call from Constructor,TypeSql.DbTests.Roslyn,RoslynFixture,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\RoslynFixture.cs,RoslynFixture,The constructor "RoslynFixture" calls a virtual method "CreateSession".
Magic Number,TypeSql.DbTests.Roslyn.CSharp,CommentsAreIgnored_InLineComment,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\CommentsAreIgnored.cs,ReturnsCorrectCount,The following statement contains a magic number: Assert.Equal(847' Session.Execute<int>("results.Count();"));
Magic Number,TypeSql.DbTests.Roslyn.CSharp,CommentsAreIgnored_BlockComment,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\CommentsAreIgnored.cs,ReturnsCorrectCount,The following statement contains a magic number: Assert.Equal(847' Session.Execute<int>("results.Count();"));
Magic Number,TypeSql.DbTests.Roslyn.CSharp,CommentsAreIgnored_BothBlockAndInlineComment,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\CommentsAreIgnored.cs,ReturnsCorrectCount,The following statement contains a magic number: Assert.Equal(847' Session.Execute<int>("results.Count();"));
Magic Number,TypeSql.DbTests.Roslyn.CSharp,DateTimeParameter,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\DateTimeParameter.cs,ReturnsResult,The following statement contains a magic number: Assert.Equal(new DateTime(2004' 6' 13)'              Session.Execute<DateTime>("result.DueDate"));
Magic Number,TypeSql.DbTests.Roslyn.CSharp,DateTimeParameter,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\DateTimeParameter.cs,ReturnsResult,The following statement contains a magic number: Assert.Equal(new DateTime(2004' 6' 13)'              Session.Execute<DateTime>("result.DueDate"));
Magic Number,TypeSql.DbTests.Roslyn.CSharp,DateTimeParameter,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\DateTimeParameter.cs,ReturnsResult,The following statement contains a magic number: Assert.Equal(new DateTime(2004' 6' 13)'              Session.Execute<DateTime>("result.DueDate"));
Magic Number,TypeSql.DbTests.Roslyn.CSharp,OneOutput,D:\research\architectureSmells\repos\mjrichardson_TypeSql\TypeSql.DbTests\Roslyn\CSharp\OneOutput.cs,ReturnsCorrectCount,The following statement contains a magic number: Assert.Equal(847'                  Session.Execute<int>("results.Count();"));
