Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Microsoft.VisualStudio.Web.CodeGeneration.Design,CodeGenCommandExecutor,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\CodeGenCommandExecutor.cs,CodeGenCommandExecutor,The method has 5 parameters. Parameters: projectInformation' codeGenArguments' configuration' logger' isSimulationMode
Long Identifier,Microsoft.VisualStudio.Web.CodeGeneration.Design,MessageOrchestrator,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\MessageOrchestrator.cs,,The length of the parameter _projectInformationMessageHandler is 33.
Long Statement,Microsoft.VisualStudio.Web.CodeGeneration.Design,MessageOrchestrator,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\MessageOrchestrator.cs,GetProjectInformation,The length of the statement  "            var message = _client.CreateMessage(MessageTypes.ProjectInfoRequest' null' _projectInformationMessageHandler.CurrentProtocolVersion); " is 133.
Long Statement,Microsoft.VisualStudio.Web.CodeGeneration.Design,MessageOrchestrator,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\MessageOrchestrator.cs,SendFileSystemChangeInformation,The length of the statement  "                _logger.LogMessage(string.Format(Resources.FileSystemChangeMessageNotSupported' _serverHostId' _serverProtocolVersion)); " is 120.
Long Statement,Microsoft.VisualStudio.Web.CodeGeneration.Design,MessageOrchestrator,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\MessageOrchestrator.cs,SendFileSystemChangeInformation,The length of the statement  "                    var message = _client.CreateMessage(MessageTypes.FileSystemChangeInformation' fileSystemChange' _currentProtocolVersion); " is 121.
Long Statement,Microsoft.VisualStudio.Web.CodeGeneration.Design,Program,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\Program.cs,Execute,The length of the statement  "            var appConfiguration = app.Option("-c|--configuration"' Resources.ConfigurationOptionDesc' CommandOptionType.SingleValue); " is 122.
Long Statement,Microsoft.VisualStudio.Web.CodeGeneration.Design,Program,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\Program.cs,Execute,The length of the statement  "            var framework = app.Option("-tfm|--target-framework"' Resources.TargetFrameworkOptionDesc' CommandOptionType.SingleValue); " is 122.
Long Statement,Microsoft.VisualStudio.Web.CodeGeneration.Design,Program,C:\repos\aspnet_Scaffolding\src\VS.Web.CG.Design\Program.cs,Execute,The length of the statement  "                Console.WriteLine($"Attach a debugger to processID: {System.Diagnostics.Process.GetCurrentProcess().Id} and hit enter."); " is 121.
