Implementation smell,Namespace,Class,File,Method,Description
Long Statement,BuildSupport,Program,C:\research\architectureSmells\repos\n2cms_n2cms\build\BuildSupport\Program.cs,Main,The length of the statement  "				Console.Error.WriteLine("Invalid command argument '" + args.FirstOrDefault() + "'. Available commands: " + string.Join(""' methods.Select(m => m.Name).Except(typeof(object).GetMethods().Select(m => m.Name)).Select(n => Environment.NewLine + " - " + n).ToArray()));" is 264.
Long Statement,BuildSupport,Program,C:\research\architectureSmells\repos\n2cms_n2cms\build\BuildSupport\Program.cs,Main,The length of the statement  "				Console.Error.WriteLine("Invalid number of command arguments (was " + (args.Length - 1) + " needs " + parameters.Length + "): " + string.Join(""' parameters.Select(p => Environment.NewLine + " - " + p.Name).ToArray()));" is 219.
