Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,Update,The length of the statement  "                    MessageBox.Show("The file " + file.FileName + " failed to download!\n\nMake sure that you have a valid internet connection and your antivirus is not blocking the file."' "An error occurred"); " is 191.
Long Statement,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,Update,The length of the statement  "                    MessageBox.Show("Failed to copy " + file.FileName + "!\n\nMake sure you're running as an administrator' close all running instances of Dota 2 and try again."' "An error occurred"); " is 180.
Long Statement,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,ShowDownloadingUI,The length of the statement  "                Dispatcher.Invoke(Delegate.CreateDelegate(typeof(UpdateUIDelegate_Int)' this' typeof(MainWindow).GetMethod("ShowDownloadingUI"))' new object[] { numFiles }); " is 157.
Long Statement,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,UpdateStatus,The length of the statement  "                Dispatcher.Invoke(Delegate.CreateDelegate(typeof(UpdateUIDelegate_String)' this' typeof(MainWindow).GetMethod("UpdateStatus"))' new object[] { status }); " is 153.
Long Statement,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,UpdateProgress,The length of the statement  "                Dispatcher.Invoke(Delegate.CreateDelegate(typeof(UpdateUIDelegate_Int)' this' typeof(MainWindow).GetMethod("UpdateProgress"))' new object[] { progress }); " is 154.
Long Statement,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,CloseWindow,The length of the statement  "                Dispatcher.Invoke(Delegate.CreateDelegate(typeof(VoidDelegate)' this' typeof(MainWindow).GetMethod("Close"))' new object[] { }); " is 128.
Empty Catch Block,Updater,FileDownloader,C:\repos\patriksletmo_Dota2Translator\Updater\Classes\FileDownloader.cs,Download,The method has an empty catch block.
Empty Catch Block,Updater,FileDownloader,C:\repos\patriksletmo_Dota2Translator\Updater\Classes\FileDownloader.cs,Download,The method has an empty catch block.
Empty Catch Block,Updater,FileDownloader,C:\repos\patriksletmo_Dota2Translator\Updater\Classes\FileDownloader.cs,Cleanup,The method has an empty catch block.
Empty Catch Block,Updater,UpdateChecker,C:\repos\patriksletmo_Dota2Translator\Updater\Classes\UpdateChecker.cs,FetchVersionXML,The method has an empty catch block.
Empty Catch Block,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,Update,The method has an empty catch block.
Magic Number,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,WaitForExit,The following statement contains a magic number: while ((running = Process.GetProcessesByName("Dota2ChatInterface.exe")).Length > 0)              {                  Thread.Sleep(100);              }
Magic Number,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Status = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Progress = ((System.Windows.Controls.ProgressBar)(target));              return;              }
Missing Default,Updater,MainWindow,C:\repos\patriksletmo_Dota2Translator\Updater\Windows\MainWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.Status = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Progress = ((System.Windows.Controls.ProgressBar)(target));              return;              }
