Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Potato.Examples.Plugins.UserInterface.Pages,SettingsPageViewBase,D:\newReposJune17\phogue_Potato\src\Potato.Examples.Plugins.UserInterface\Pages\SettingsPageView.cs,Write,The length of the statement  "	textToAppend = textToAppend.Replace (global::System.Environment.NewLine' (global::System.Environment.NewLine + this.currentIndentField)); " is 137.
Long Statement,Potato.Examples.Plugins.UserInterface.Pages,IndexPageView,D:\newReposJune17\phogue_Potato\src\Potato.Examples.Plugins.UserInterface\Pages\IndexPageModel.cs,TransformText,The length of the statement  "	this.Write ("Hey' this is the index of my plugin. The first page people will see! Check out th" + "e <a href=\"/settings\">Settings</a>."); " is 139.
Long Statement,Potato.Examples.Plugins.UserInterface.Pages,IndexPageViewBase,D:\newReposJune17\phogue_Potato\src\Potato.Examples.Plugins.UserInterface\Pages\IndexPageView.cs,Write,The length of the statement  "	textToAppend = textToAppend.Replace (global::System.Environment.NewLine' (global::System.Environment.NewLine + this.currentIndentField)); " is 137.
Magic Number,Potato.Examples.Plugins.UserInterface,Program,D:\newReposJune17\phogue_Potato\src\Potato.Examples.Plugins.UserInterface\Program.cs,PageSettings,The following statement contains a magic number: return new CommandResult () {  	Now = new CommandData () {  		Content = new List<string> () {  			new SettingsPageView () {  				MyStringyVariable = "Output of the variable!"'  				MyListOfPlayers = new List<PlayerModel> () {  					new PlayerModel () {  						Name = "Player1"'  						Score = 100  					}'  					new PlayerModel () {  						Name = "Player2"'  						Score = 250  					}  				}  			}.TransformText ()  		}  	}'  	ContentType = Mime.TextHtml'  	CommandResultType = CommandResultType.Success'  	Success = true  };  
Magic Number,Potato.Examples.Plugins.UserInterface,Program,D:\newReposJune17\phogue_Potato\src\Potato.Examples.Plugins.UserInterface\Program.cs,PageSettings,The following statement contains a magic number: return new CommandResult () {  	Now = new CommandData () {  		Content = new List<string> () {  			new SettingsPageView () {  				MyStringyVariable = "Output of the variable!"'  				MyListOfPlayers = new List<PlayerModel> () {  					new PlayerModel () {  						Name = "Player1"'  						Score = 100  					}'  					new PlayerModel () {  						Name = "Player2"'  						Score = 250  					}  				}  			}.TransformText ()  		}  	}'  	ContentType = Mime.TextHtml'  	CommandResultType = CommandResultType.Success'  	Success = true  };  
