Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AutoTest.TestRunners.MbUnit,BinPathLocator,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\BinPathLocator.cs,Locate,The length of the statement  "            var text = File.ReadAllText(Path.Combine(Path.GetDirectoryName(Assembly.GetExecutingAssembly().Location)' "mbunit.config")); " is 124.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,Run,The length of the statement  "            var testIsolationProvider = (ITestIsolationProvider)RuntimeAccessor.ServiceLocator.ResolveByComponentId("Gallio.LocalTestIsolationProvider"); " is 141.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,Run,The length of the statement  "                    var fixture = string.Format("{0}.{1}"' test.CodeReference.NamespaceName' steps.First(x => x.Id.Equals(test.ParentId)).Name); " is 124.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,Run,The length of the statement  "            options.FilterSet = new Gallio.Model.Filters.FilterSet<ITestDescriptor>(new OrFilter<ITestDescriptor>(getTestFilter(namespaces' members' tests))); " is 146.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,getTestFilter,The length of the statement  "                            new MemberFilter<ITestDescriptor>(new EqualityFilter<string>(x.Substring(x.LastIndexOf('.') + 1' x.Length - (x.LastIndexOf('.') + 1)))) " is 135.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,getTestFilter,The length of the statement  "                list.AddRange(members.Select(x => new TypeFilter<ITestDescriptor>(new EqualityFilter<string>(x)' false)).Cast<Filter<ITestDescriptor>>()); " is 138.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,getTestFilter,The length of the statement  "                list.AddRange(ns.Select(x => new NamespaceFilter<ITestDescriptor>(new EqualityFilter<string>(x))).Cast<Filter<ITestDescriptor>>()); " is 131.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,getTests,The length of the statement  "            var testIsolationProvider = (ITestIsolationProvider)RuntimeAccessor.ServiceLocator.ResolveByComponentId("Gallio.LocalTestIsolationProvider"); " is 141.
Long Statement,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,getNotInitializedResult,The length of the statement  "            return new AutoTest.TestRunners.Shared.Results.TestResult(Identifier' settings.Assembly.Assembly' ""' 0' ""' Shared.Results.TestState.Panic' sb.ToString()); " is 156.
Missing Default,AutoTest.TestRunners.MbUnit,Runner,D:\research\architectureSmells\repos\acken_AutoTest.Net\src\AutoTest.TestRunner\Plugins\AutoTest.TestRunners.MbUnit\Runner.cs,convertState,The following switch statement is missing a default case: switch (testStatus)              {                  case TestStatus.Passed:                      return Shared.Results.TestState.Passed;                  case TestStatus.Inconclusive:                  case TestStatus.Skipped:                      return Shared.Results.TestState.Ignored;                  case TestStatus.Failed:                      return Shared.Results.TestState.Failed;              }
