Implementation smell,Namespace,Class,File,Method,Description
Complex Method,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexName,Cyclomatic complexity of the method is 15
Empty Catch Block,ApplicationService.GisMapServices,CopsService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CopsService.cs,GetAllCops,The method has an empty catch block.
Empty Catch Block,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexGraphics,The method has an empty catch block.
Empty Catch Block,ApplicationService.GisMapServices,SchoolService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\SchoolService.cs,GetSchoolGraphycsLayersPoints,The method has an empty catch block.
Magic Number,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexName,The following statement contains a magic number: switch (criminalIndex) {  case 1:  	criminalName = "Muito Baixo";  	break;  case 2:  	criminalName = "Baixo";  	break;  case 3:  	criminalName = "Media";  	break;  case 4:  	criminalName = "Alto";  	break;  case 5:  	criminalName = "Muito Alto";  	break;  }  
Magic Number,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexName,The following statement contains a magic number: switch (criminalIndex) {  case 1:  	criminalName = "Muito Baixo";  	break;  case 2:  	criminalName = "Baixo";  	break;  case 3:  	criminalName = "Media";  	break;  case 4:  	criminalName = "Alto";  	break;  case 5:  	criminalName = "Muito Alto";  	break;  }  
Magic Number,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexName,The following statement contains a magic number: switch (criminalIndex) {  case 1:  	criminalName = "Muito Baixo";  	break;  case 2:  	criminalName = "Baixo";  	break;  case 3:  	criminalName = "Media";  	break;  case 4:  	criminalName = "Alto";  	break;  case 5:  	criminalName = "Muito Alto";  	break;  }  
Magic Number,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexName,The following statement contains a magic number: switch (criminalIndex) {  case 1:  	criminalName = "Muito Baixo";  	break;  case 2:  	criminalName = "Baixo";  	break;  case 3:  	criminalName = "Media";  	break;  case 4:  	criminalName = "Alto";  	break;  case 5:  	criminalName = "Muito Alto";  	break;  }  
Missing Default,ApplicationService.GisMapServices,CriminalIndexService,C:\repos\wellingtonme_GISPousoAlegreTCC\ApplicationService\GisMapServices\CriminalIndexService.cs,GetCriminalIndexName,The following switch statement is missing a default case: switch (criminalIndex) {  case 1:  	criminalName = "Muito Baixo";  	break;  case 2:  	criminalName = "Baixo";  	break;  case 3:  	criminalName = "Media";  	break;  case 4:  	criminalName = "Alto";  	break;  case 5:  	criminalName = "Muito Alto";  	break;  }  
