Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MVCSharp.Examples.TasksInTabs.Presentation,TabTaskView,C:\repos\hanleyChu_prj\hoe\prj\Examples\TasksInTabs (Winforms)\Presentation\TabTaskView.cs,Activate,The length of the statement  "	int taskStartTimes = Controller.Task is TabTask1 ? (Controller.Task as TabTask1).TaskStartTimes : (Controller.Task as TabTask2).TaskStartTimes; " is 143.
Missing Default,MVCSharp.Examples.TasksInTabs.ApplicationLogic,MainViewController,C:\repos\hanleyChu_prj\hoe\prj\Examples\TasksInTabs (Winforms)\ApplicationLogic\MainViewController.cs,StartNewTask,The following switch statement is missing a default case: switch (taskName) {  case "Task One":  	return Task.TasksManager.StartTask (typeof(TabTask1));  case "Task Two":  	return Task.TasksManager.StartTask (typeof(TabTask2));  }  
