Implementation smell,Namespace,Class,File,Method,Description
Complex Method,vfsxcopy,Program,C:\repos\projectkudu_KuduVfs\vfsxcopy\Program.cs,GetDestinationFileInfo,Cyclomatic complexity of the method is 11
Long Statement,vfsxcopy,Program,C:\repos\projectkudu_KuduVfs\vfsxcopy\Program.cs,CopyInternal,The length of the statement  "			_tasks.Add (CopyInternalAsync (srcFileSystem' (FileInfoBase)src' dstFileSystem' (FileInfoBase)dst).Finally (() => _semaphore.Release ())); " is 138.
Long Statement,vfsxcopy,Program,C:\repos\projectkudu_KuduVfs\vfsxcopy\Program.cs,CopyInternalAsync,The length of the statement  "				Console.WriteLine ("          File up-to-date from \"" + srcFileInfo.FullName + "\" to \"" + dstFileInfo.FullName + "\""); " is 122.
Long Statement,vfsxcopy,Program,C:\repos\projectkudu_KuduVfs\vfsxcopy\Program.cs,CopyInternalAsync,The length of the statement  "				Console.WriteLine ("{0'12} bytes copied from \"" + srcFileInfo.FullName + "\" to \"" + dstFileInfo.FullName + "\""' bytes.Length.ToString ("#'##0")); " is 149.
