Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NxBRE.StressTests,MainClass,F:\newReposMay17\ddossot_NxBRE\StressTests\FlowEngineMultiThreading\Main.cs,WriteRules,The length of the statement  "	sw.WriteLine ("<xBusinessRules xmlns:xsi=\"http://www.w3.org/2001/XMLSchema-instance\" xsi:noNamespaceSchemaLocation=\"http://nxbre.org/xBusinessRules.xsd\">"); " is 160.
Magic Number,NxBRE.StressTests,MainClass,F:\newReposMay17\ddossot_NxBRE\StressTests\FlowEngineMultiThreading\Main.cs,Main,The following statement contains a magic number: Thread.Sleep (mc.DURATION * 1000);  
Magic Number,NxBRE.StressTests,MainClass,F:\newReposMay17\ddossot_NxBRE\StressTests\FlowEngineMultiThreading\Main.cs,Main,The following statement contains a magic number: while (mc.runningThreads > 0)  	Thread.Sleep (1000);  
Magic Number,NxBRE.StressTests,MainClass,F:\newReposMay17\ddossot_NxBRE\StressTests\FlowEngineMultiThreading\Main.cs,Main,The following statement contains a magic number: Thread.Sleep (1000);  
Magic Number,NxBRE.StressTests,MainClass,F:\newReposMay17\ddossot_NxBRE\StressTests\FlowEngineMultiThreading\Main.cs,RunTests,The following statement contains a magic number: stopTimer = new Timer (new TimerCallback (StopTests)' null' DURATION * 1000' Timeout.Infinite);  
Magic Number,NxBRE.StressTests,MainClass,F:\newReposMay17\ddossot_NxBRE\StressTests\FlowEngineMultiThreading\Main.cs,StopTests,The following statement contains a magic number: Console.WriteLine ("{0} hits' {1} errors in {2} msec"' hits' errors' (long)(DateTime.Now.Ticks - iniTime) / 10000);  
