Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Giles,Program,D:\research\architectureSmells\repos\codereflection_Giles\src\Giles\Program.cs,Main,The length of the statement  "                Console.WriteLine("Unable to determine what command lines arguments were used' check the help above!\nThe minimum needed is the -s [solution file path]."); " is 155.
Long Statement,Giles,Program,D:\research\architectureSmells\repos\codereflection_Giles\src\Giles\Program.cs,SetTestFilters,The length of the statement  "            config.Filters = UserInputHandler.GetUserValuesFor(config.Filters' "Filters: Enter a namespace and type (MyNamespace.FooTests)."); " is 130.
Long Statement,Giles,Program,D:\research\architectureSmells\repos\codereflection_Giles\src\Giles\Program.cs,DisplayConfig,The length of the statement  "			Console.WriteLine("  Output Errors File: {0}"' (string.IsNullOrEmpty(config.OutputFilePath) ? "Not Set" : Path.GetFullPath(config.OutputFilePath))); " is 148.
Long Statement,Giles,Program,D:\research\architectureSmells\repos\codereflection_Giles\src\Giles\Program.cs,DisplayConfig,The length of the statement  "			Console.WriteLine("  Output Verbose File: {0}"' (string.IsNullOrEmpty(config.VerboseResultsFilePath) ? "Not Set" : Path.GetFullPath(config.VerboseResultsFilePath))); " is 165.
Long Statement,Giles,UserInputHandler,D:\research\architectureSmells\repos\codereflection_Giles\src\Giles\UserInputHandler.cs,GetUserValuesFor,The length of the statement  "            Output(string.Format("  Current settings: {0}{1}"' GetLineSeparatedValueListForFilters(defaultValues)' Environment.NewLine)); " is 125.
Long Statement,Giles,UserInputHandler,D:\research\architectureSmells\repos\codereflection_Giles\src\Giles\UserInputHandler.cs,GetLineSeparatedValueListForFilters,The length of the statement  "            defaultValues.ForEach(x => sb.Append(String.Format("{0} ({1}) {2} \t"' x.Name' x.Type.ToString()' Environment.NewLine))); " is 121.
