Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Aspose.Plugins.AsposeVSOpenXML,Program,F:\newReposMay17\asposewords_Aspose_Words_NET\Plugins\Aspose.Words Vs OpenXML Words\Aspose.Words VS OpenXML\Delete comments by all or author\OpenXML SDK\Program.cs,DeleteComments,Cyclomatic complexity of the method is 9
Long Statement,Aspose.Plugins.AsposeVSOpenXML,Program,F:\newReposMay17\asposewords_Aspose_Words_NET\Plugins\Aspose.Words Vs OpenXML Words\Aspose.Words VS OpenXML\Delete comments by all or author\OpenXML SDK\Program.cs,DeleteComments,The length of the statement  "		List<CommentRangeStart> commentRangeStartToDelete = doc.Descendants<CommentRangeStart> ().Where (c => commentIds.Contains (c.Id.Value)).ToList (); " is 146.
Long Statement,Aspose.Plugins.AsposeVSOpenXML,Program,F:\newReposMay17\asposewords_Aspose_Words_NET\Plugins\Aspose.Words Vs OpenXML Words\Aspose.Words VS OpenXML\Delete comments by all or author\OpenXML SDK\Program.cs,DeleteComments,The length of the statement  "		List<CommentRangeEnd> commentRangeEndToDelete = doc.Descendants<CommentRangeEnd> ().Where (c => commentIds.Contains (c.Id.Value)).ToList (); " is 140.
Long Statement,Aspose.Plugins.AsposeVSOpenXML,Program,F:\newReposMay17\asposewords_Aspose_Words_NET\Plugins\Aspose.Words Vs OpenXML Words\Aspose.Words VS OpenXML\Delete comments by all or author\OpenXML SDK\Program.cs,DeleteComments,The length of the statement  "		List<CommentReference> commentRangeReferenceToDelete = doc.Descendants<CommentReference> ().Where (c => commentIds.Contains (c.Id.Value)).ToList (); " is 148.
