Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Example_Notifications,AppDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Notifications\AppDelegate.cs,FinishedLaunching,The length of the statement  "			home.View.Frame = new CoreGraphics.CGRect (0' UIApplication.SharedApplication.StatusBarFrame.Height' UIScreen.MainScreen.ApplicationFrame.Width' UIScreen.MainScreen.ApplicationFrame.Height); " is 190.
Long Statement,Example_Notifications,AppDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Notifications\AppDelegate.cs,FinishedLaunching,The length of the statement  "					UILocalNotification localNotification = options[UIApplication.LaunchOptionsLocalNotificationKey] as UILocalNotification; " is 120.
Magic Number,Example_Notifications,AppDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Notifications\AppDelegate.cs,FinishedLaunching,The following statement contains a magic number: UIDevice.CurrentDevice.CheckSystemVersion (8' 0)
Magic Number,Example_Notifications.Screens.iPhone.Home,Home_iPhone,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Notifications\Screens\iPhone\Home\Home_iPhone.xib.cs,ViewDidLoad,The following statement contains a magic number: btnAddLocalNotification.TouchUpInside += (s' e) => {  				//---- create the notification  				UILocalNotification notification = new UILocalNotification ();    				//---- set the fire date (the date time in which it will fire)  				var fireDate = DateTime.Now.AddSeconds (60);  				notification.FireDate = (NSDate)fireDate;    				//---- configure the alert stuff  				notification.AlertAction = "View Alert";  				notification.AlertBody = "Your one minute alert has fired!";    				//---- modify the badge  				notification.ApplicationIconBadgeNumber = 1;    				//---- set the sound to be the default sound  				notification.SoundName = UILocalNotification.DefaultSoundName;    //				notification.UserInfo = new NSDictionary();  //				notification.UserInfo[new NSString("Message")] = new NSString("Your 1 minute notification has fired!");    				//---- schedule it  				UIApplication.SharedApplication.ScheduleLocalNotification (notification);    			};
