Implementation smell,Namespace,Class,File,Method,Description
Long Statement,TableEditing,MainViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\TableEditing\TableEditing\MainViewController.cs,RowSelected,The length of the statement  "            var alert = UIAlertController.Create("Row Selected"' items[indexPath.Section].Items[indexPath.Row].Heading' UIAlertControllerStyle.Alert); " is 138.
Missing Default,TableEditing,MainViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\TableEditing\TableEditing\MainViewController.cs,CommitEditingStyle,The following switch statement is missing a default case: switch (editingStyle)              {                  case UITableViewCellEditingStyle.Delete:                      //---- remove the item from the underlying data source                      items[indexPath.Section].Items.RemoveAt(indexPath.Row);                        //---- delete the row from the table                      tableView.DeleteRows(new NSIndexPath[] { indexPath }' UITableViewRowAnimation.Fade);                      break;                    case UITableViewCellEditingStyle.Insert:                      //---- create a new item and add it to our underlying data                      items[indexPath.Section].Items.Insert(indexPath.Row' new TableItem { Heading = "(inserted)" });                        //---- insert a new row in the table                      tableView.InsertRows(new NSIndexPath[] { indexPath }' UITableViewRowAnimation.Fade);                      break;                    case UITableViewCellEditingStyle.None:                      Console.WriteLine("CommitEditingStyle:None called");                      break;              }
