Implementation smell,Namespace,Class,File,Method,Description
Complex Method,CollectionView,WaterfallCollectionLayout,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionLayout.cs,PrepareLayout,Cyclomatic complexity of the method is 11
Long Statement,CollectionView,WaterfallCollectionLayout,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionLayout.cs,PrepareLayout,The length of the statement  "					attributes = UICollectionViewLayoutAttributes.CreateForSupplementaryView (UICollectionElementKindSection.Header' NSIndexPath.FromRowSection (0' section)); " is 154.
Long Statement,CollectionView,WaterfallCollectionLayout,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionLayout.cs,PrepareLayout,The length of the statement  "					attributes = UICollectionViewLayoutAttributes.CreateForSupplementaryView (UICollectionElementKindSection.Footer' NSIndexPath.FromRowSection (0' section)); " is 154.
Magic Number,CollectionView,ThirdViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\ThirdViewController.cs,AwakeFromNib,The following statement contains a magic number: waterfallLayout.SizeForItem += (collectionView' layout' indexPath) => {  				var collection = collectionView as WaterfallCollectionView;  				return new CGSize ((View.Bounds.Width - 40) / 3' collection.Source.Heights [(int)indexPath.Item]);  			};
Magic Number,CollectionView,ThirdViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\ThirdViewController.cs,AwakeFromNib,The following statement contains a magic number: waterfallLayout.SizeForItem += (collectionView' layout' indexPath) => {  				var collection = collectionView as WaterfallCollectionView;  				return new CGSize ((View.Bounds.Width - 40) / 3' collection.Source.Heights [(int)indexPath.Item]);  			};
Magic Number,CollectionView,WaterfallCollectionSource,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionSource.cs,WaterfallCollectionSource,The following statement contains a magic number: Heights.Add (rnd.Next (0' 100) + 40f);
Magic Number,CollectionView,WaterfallCollectionSource,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionSource.cs,WaterfallCollectionSource,The following statement contains a magic number: Heights.Add (rnd.Next (0' 100) + 40f);
Magic Number,CollectionView,WaterfallCollectionSource,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionSource.cs,WaterfallCollectionSource,The following statement contains a magic number: n < 100
Magic Number,CollectionView,WaterfallCollectionDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionDelegate.cs,ItemHighlighted,The following statement contains a magic number: cell.ContentView.BackgroundColor = UIColor.FromRGB (183' 208' 57);
Magic Number,CollectionView,WaterfallCollectionDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionDelegate.cs,ItemHighlighted,The following statement contains a magic number: cell.ContentView.BackgroundColor = UIColor.FromRGB (183' 208' 57);
Magic Number,CollectionView,WaterfallCollectionDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionDelegate.cs,ItemHighlighted,The following statement contains a magic number: cell.ContentView.BackgroundColor = UIColor.FromRGB (183' 208' 57);
Magic Number,CollectionView,WaterfallCollectionDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionDelegate.cs,ItemUnhighlighted,The following statement contains a magic number: cell.ContentView.BackgroundColor = UIColor.FromRGB (164' 205' 255);
Magic Number,CollectionView,WaterfallCollectionDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionDelegate.cs,ItemUnhighlighted,The following statement contains a magic number: cell.ContentView.BackgroundColor = UIColor.FromRGB (164' 205' 255);
Magic Number,CollectionView,WaterfallCollectionDelegate,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionDelegate.cs,ItemUnhighlighted,The following statement contains a magic number: cell.ContentView.BackgroundColor = UIColor.FromRGB (164' 205' 255);
Missing Default,CollectionView,WaterfallCollectionLayout,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionLayout.cs,LayoutAttributesForSupplementaryView,The following switch statement is missing a default case: switch (kind) {  			case "header":  				attributes = headersAttributes [indexPath.Section];  				break;  			case "footer":  				attributes = footersAttributes [indexPath.Section];  				break;  			}
Missing Default,CollectionView,WaterfallCollectionLayout,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios9\CollectionView\CollectionView\CollectionLayouts\WaterfallCollectionLayout.cs,NextColumnIndexForItem,The following switch statement is missing a default case: switch (ItemRenderDirection) {  			case WaterfallCollectionRenderDirection.ShortestFirst:  				index = ShortestColumnIndex ();  				break;  			case WaterfallCollectionRenderDirection.LeftToRight:  				index = ColumnCount;  				break;  			case WaterfallCollectionRenderDirection.RightToLeft:  				index = (ColumnCount - 1) - ((int)item / ColumnCount);  				break;  			}
