Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpTableView,The length of the statement  "                var pinLeft = NSLayoutConstraint.Create(tableView' NSLayoutAttribute.Leading' NSLayoutRelation.Equal' View' NSLayoutAttribute.Leading' 1f' 0f); " is 143.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpTableView,The length of the statement  "                var pinRight = NSLayoutConstraint.Create(tableView' NSLayoutAttribute.Trailing' NSLayoutRelation.Equal' View' NSLayoutAttribute.Trailing' 1f' 0f); " is 146.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpTableView,The length of the statement  "                var pinTop = NSLayoutConstraint.Create(tableView' NSLayoutAttribute.Top' NSLayoutRelation.Equal' TopLayoutGuide' NSLayoutAttribute.Bottom' 1f' 0f); " is 147.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpTableView,The length of the statement  "                var pinBottom = NSLayoutConstraint.Create(tableView' NSLayoutAttribute.Bottom' NSLayoutRelation.Equal' View' NSLayoutAttribute.Bottom' 1f' 0f); " is 143.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpToolbar,The length of the statement  "                var pinLeft = NSLayoutConstraint.Create (toolbar' NSLayoutAttribute.Leading' NSLayoutRelation.Equal' View' NSLayoutAttribute.Leading' 1f' 0f); " is 142.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpToolbar,The length of the statement  "                var pinRight = NSLayoutConstraint.Create (toolbar' NSLayoutAttribute.Trailing' NSLayoutRelation.Equal' View' NSLayoutAttribute.Trailing' 1f' 0f); " is 145.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpToolbar,The length of the statement  "                toolbarBottomConstraint = NSLayoutConstraint.Create (View' NSLayoutAttribute.Bottom' NSLayoutRelation.Equal' toolbar' NSLayoutAttribute.Bottom' 1f' 0f); " is 152.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,SetUpToolbar,The length of the statement  "                toolbarHeightConstraint = NSLayoutConstraint.Create (toolbar' NSLayoutAttribute.Height' NSLayoutRelation.Equal' null' NSLayoutAttribute.NoAttribute' 0f' 44f); " is 158.
Long Statement,Chat,ChatViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\ChatViewController.cs,OnSendClicked,The length of the statement  "			tableView.InsertRows (new NSIndexPath[] { NSIndexPath.FromRowSection (messages.Count - 1' 0) }' UITableViewRowAnimation.None); " is 126.
Long Statement,Chat,IncomingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\IncomingCell.cs,Initialize,The length of the statement  "			var vSpaceTop = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.Top' NSLayoutRelation.Equal' BubbleImageView' NSLayoutAttribute.Top' 1' 10); " is 151.
Long Statement,Chat,IncomingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\IncomingCell.cs,Initialize,The length of the statement  "			var vSpaceBottom = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.Bottom' NSLayoutRelation.Equal' BubbleImageView' NSLayoutAttribute.Bottom' 1' -10); " is 161.
Long Statement,Chat,IncomingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\IncomingCell.cs,Initialize,The length of the statement  "			var msgLeading = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.Leading' NSLayoutRelation.GreaterThanOrEqual' BubbleImageView' NSLayoutAttribute.Leading' 1' 16); " is 173.
Long Statement,Chat,IncomingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\IncomingCell.cs,Initialize,The length of the statement  "			var msgCenter = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.CenterX' NSLayoutRelation.Equal' BubbleImageView' NSLayoutAttribute.CenterX' 1' 3); " is 158.
Long Statement,Chat,OutgoingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\OutgoingCell.cs,Initialize,The length of the statement  "			var vSpaceTop = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.Top' NSLayoutRelation.Equal' BubbleImageView' NSLayoutAttribute.Top' 1' 10); " is 151.
Long Statement,Chat,OutgoingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\OutgoingCell.cs,Initialize,The length of the statement  "			var vSpaceBottom = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.Bottom' NSLayoutRelation.Equal' BubbleImageView' NSLayoutAttribute.Bottom' 1' -10); " is 161.
Long Statement,Chat,OutgoingCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\Chat\Chat\Cells\OutgoingCell.cs,Initialize,The length of the statement  "			var msgTrailing = NSLayoutConstraint.Create (MessageLabel' NSLayoutAttribute.Trailing' NSLayoutRelation.LessThanOrEqual' BubbleImageView' NSLayoutAttribute.Trailing' 1' -16); " is 174.
