Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MarsHabitatCoreMLTimer,ViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios12\MarsHabitatCoreMLTimer\ViewController.cs,RunTest,The following statement contains a magic number: SetupUI(false' $"Loop: {(float)nonBatchMilliseconds / 1000} sec; Batch: {(float)batchMilliseconds / 1000} sec");
Magic Number,MarsHabitatCoreMLTimer,ViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\ios12\MarsHabitatCoreMLTimer\ViewController.cs,RunTest,The following statement contains a magic number: SetupUI(false' $"Loop: {(float)nonBatchMilliseconds / 1000} sec; Batch: {(float)batchMilliseconds / 1000} sec");
