Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MySingleView,ViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\tvos\Hello-tvOS\Hello-tvOS\ViewController.cs,ClickedButton,The length of the statement  "			ClickedLabel.Text = string.Format("The button has been clicked {0} time{1}."'++numberOfTimesClicked' (numberOfTimesClicked < 2) ? "" : "s"); " is 140.
Magic Number,MySingleView,ViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\tvos\Hello-tvOS\Hello-tvOS\ViewController.cs,ClickedButton,The following statement contains a magic number: ClickedLabel.Text = string.Format("The button has been clicked {0} time{1}."'++numberOfTimesClicked' (numberOfTimesClicked < 2) ? "" : "s");
