Implementation smell,Namespace,Class,File,Method,Description
Long Statement,PickerControl,PeopleModel,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\PickerViewController.cs,Selected,The length of the statement  "            personLabel.Text = $"This person is: {names[pickerView.SelectedRowInComponent(0)]}'\n they are number {pickerView.SelectedRowInComponent(1)}";" is 142.
Magic Number,PickerControl,PeopleModel,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\PickerViewController.cs,GetComponentCount,The following statement contains a magic number: return 2;
Magic Number,PickerControl,PeopleModel,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\PickerViewController.cs,GetComponentWidth,The following statement contains a magic number: return 240f;
Magic Number,PickerControl,PeopleModel,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\PickerViewController.cs,GetRowHeight,The following statement contains a magic number: return 40f;
Magic Number,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,ViewDidLoad,The following statement contains a magic number: components.Year = -60;
Magic Number,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateModeValueChanged,The following statement contains a magic number: switch (sender.SelectedSegment) 			{ 				case 0: // time 					datePickerView.Mode = UIDatePickerMode.Time; 					break;  				case 1: // date 					datePickerView.Mode = UIDatePickerMode.Date; 					break;  				case 2: // date & time 					datePickerView.Mode = UIDatePickerMode.DateAndTime; 					break;  				case 3: // counter 					datePickerView.Mode = UIDatePickerMode.CountDownTimer;                      datePickerView.MinuteInterval = 10; 					break; 			}
Magic Number,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateModeValueChanged,The following statement contains a magic number: switch (sender.SelectedSegment) 			{ 				case 0: // time 					datePickerView.Mode = UIDatePickerMode.Time; 					break;  				case 1: // date 					datePickerView.Mode = UIDatePickerMode.Date; 					break;  				case 2: // date & time 					datePickerView.Mode = UIDatePickerMode.DateAndTime; 					break;  				case 3: // counter 					datePickerView.Mode = UIDatePickerMode.CountDownTimer;                      datePickerView.MinuteInterval = 10; 					break; 			}
Magic Number,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateModeValueChanged,The following statement contains a magic number: switch (sender.SelectedSegment) 			{ 				case 0: // time 					datePickerView.Mode = UIDatePickerMode.Time; 					break;  				case 1: // date 					datePickerView.Mode = UIDatePickerMode.Date; 					break;  				case 2: // date & time 					datePickerView.Mode = UIDatePickerMode.DateAndTime; 					break;  				case 3: // counter 					datePickerView.Mode = UIDatePickerMode.CountDownTimer;                      datePickerView.MinuteInterval = 10; 					break; 			}
Magic Number,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateTimeChanged,The following statement contains a magic number: switch (datePickerMode.SelectedSegment) 			{ 				case 0: // time 					dateLabel.Text = timeFormat.ToString(datePickerView.Date); 					break;  				case 1: // date 					dateLabel.Text = dateFormat.ToString(datePickerView.Date); 					break;  				case 2: // date & time 					dateLabel.Text = dateTimeformat.ToString(datePickerView.Date); 					break;  				case 3: // counter 					dateLabel.Text = "Alarm set for:" + coundownTimeformat.ToString(finishCountdown); 					break; 			}
Magic Number,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateTimeChanged,The following statement contains a magic number: switch (datePickerMode.SelectedSegment) 			{ 				case 0: // time 					dateLabel.Text = timeFormat.ToString(datePickerView.Date); 					break;  				case 1: // date 					dateLabel.Text = dateFormat.ToString(datePickerView.Date); 					break;  				case 2: // date & time 					dateLabel.Text = dateTimeformat.ToString(datePickerView.Date); 					break;  				case 3: // counter 					dateLabel.Text = "Alarm set for:" + coundownTimeformat.ToString(finishCountdown); 					break; 			}
Missing Default,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateModeValueChanged,The following switch statement is missing a default case: switch (sender.SelectedSegment) 			{ 				case 0: // time 					datePickerView.Mode = UIDatePickerMode.Time; 					break;  				case 1: // date 					datePickerView.Mode = UIDatePickerMode.Date; 					break;  				case 2: // date & time 					datePickerView.Mode = UIDatePickerMode.DateAndTime; 					break;  				case 3: // counter 					datePickerView.Mode = UIDatePickerMode.CountDownTimer;                      datePickerView.MinuteInterval = 10; 					break; 			}
Missing Default,PickerControl,DatePickerViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\PickerControl\PickerControl\DatePickerViewController.cs,DateTimeChanged,The following switch statement is missing a default case: switch (datePickerMode.SelectedSegment) 			{ 				case 0: // time 					dateLabel.Text = timeFormat.ToString(datePickerView.Date); 					break;  				case 1: // date 					dateLabel.Text = dateFormat.ToString(datePickerView.Date); 					break;  				case 2: // date & time 					dateLabel.Text = dateTimeformat.ToString(datePickerView.Date); 					break;  				case 3: // counter 					dateLabel.Text = "Alarm set for:" + coundownTimeformat.ToString(finishCountdown); 					break; 			}
