Implementation smell,Namespace,Class,File,Method,Description
Magic Number,SocialFrameworkDemo,ViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\SocialFrameworkDemo\SocialFrameworkDemo\ViewController.cs,RequestTwitterTimeline_TouchUpInside,The following statement contains a magic number: request.PerformRequest ((data' response' error) => {  				// Was there an error?  				if (error == null) {  					// Was the request successful?  					if (response.StatusCode == 200) {  						// Yes' display it  						InvokeOnMainThread (() => {  							Results.Text = data.ToString ();  						});  					} else {  						// No' display error  						InvokeOnMainThread (() => {  							Results.Text = $"Error: {response.StatusCode}";  						});  					}  				} else {  					// No' display error  					InvokeOnMainThread (() => {  						Results.Text = $"Error: {error}";  					});  				}  			});
Magic Number,SocialFrameworkDemo,ViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\SocialFrameworkDemo\SocialFrameworkDemo\ViewController.cs,RequestFacebookTimeline_TouchUpInside,The following statement contains a magic number: request.PerformRequest ((data' response' error) => {  				// Was there an error?  				if (error == null) {  					// Was the request successful?  					if (response.StatusCode == 200) {  						// Yes' display it  						InvokeOnMainThread (() => {  							Results.Text = data.ToString ();  						});  					} else {  						// No' display error  						InvokeOnMainThread (() => {  							Results.Text = $"Error: {response.StatusCode}";  						});  					}  				} else {  					// No' display error  					InvokeOnMainThread (() => {  						Results.Text = $"Error: {error}";  					});  				}  			});
