Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Store,ZeroInstall.Store.Implementations.Manifests,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ZeroInstall.Store.Implementations.Manifests' ZeroInstall.Commands.CliCommands
Unstable Dependency,Store,ZeroInstall.Store,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZeroInstall.Hooking' ZeroInstall.Store.Feeds
Unstable Dependency,Store,ZeroInstall.Store.Feeds,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZeroInstall.Store.Trust
Unstable Dependency,Store,ZeroInstall.Store.Implementations.Build,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZeroInstall.Store.Implementations' ZeroInstall.Store.Implementations.Archives
Unstable Dependency,Store,ZeroInstall.Store.Implementations.Manifests,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZeroInstall.Commands.CliCommands
Unstable Dependency,Store,ZeroInstall.Store.Model,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZeroInstall.Store.Model.Design' ZeroInstall.Store.Model.Capabilities
Unstable Dependency,Store,ZeroInstall.Store.Model.Capabilities,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZeroInstall.Store.Model.Design
God Component,Store,ZeroInstall.Store.Model,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
Feature Concentration,Store,ZeroInstall.Store,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BootstrapMode]' [Config' FeedUri' FeedUriExtensions' FeedTarget' NetworkLevel]' [Disposable]' [JsonStorage]' [ManagerBase]. LCC (Lack of Component Cohesion) = 0.56
Feature Concentration,Store,ZeroInstall.Store.Feeds,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DiskFeedCache' FeedCacheFactory' FeedUtils' IFeedCache' FeedCacheExtentsions]' [FeedExtensions]. LCC (Lack of Component Cohesion) = 0.33
Feature Concentration,Store,ZeroInstall.Store.Implementations,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompositeStore' StoreKind' IStore' StoreFactory' DirectoryStore' IpcStore' StoreConfig]' [DigestMismatchException]' [FetchHandle]' [ImplementationAlreadyInStoreException]' [ImplementationNotFoundException]' [StoreUtils]. LCC (Lack of Component Cohesion) = 0.5
Feature Concentration,Store,ZeroInstall.Store.Model.Design,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArchitectureConverter]' [ArchiveMimeTypeConverter]' [ArgBaseConverter]' [CategoryNameConverter]' [CommandNameConverter]' [DistributionNameConverter]' [IconMimeTypeConverter]' [InstallCommandsConverter]' [LicenseNameConverter]' [ManifestDigestConverter]' [VerbNameConverter]. LCC (Lack of Component Cohesion) = 1
Feature Concentration,Store,ZeroInstall.Store.Trust,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BouncyCastle' IKeyIDContainer' IOpenPgp' OpenPgpExtensions' OpenPgpFactory' OpenPgpSecretKey' OpenPgpSignature' ValidSignature' ErrorSignature' BadSignature' MissingKeySignature' OpenPgpUtils' GnuPG' IFingerprintContainer]' [Domain' TrustDB' DomainSet' Key]' [SignatureException]' [WrongPassphraseException]. LCC (Lack of Component Cohesion) = 0.2
Feature Concentration,Store,ZeroInstall.Store.ViewModel,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CacheNode' CacheNodeBuilder' FeedNode' ImplementationNode' OrphanedImplementationNode' OwnedImplementationNode' StoreNode' TempDirectoryNode]' [TrustNode' TrustNodeManager]. LCC (Lack of Component Cohesion) = 0.2
Scattered Functionality,Store,ZeroInstall.Store.Model.Selection,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ZeroInstall.Store.Model' ZeroInstall.Store
