Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Thinktecture.IdentityModel.EmbeddedSts,EmbeddedStsConfiguration,C:\repos\IdentityModel_Thinktecture.IdentityModel\source\EmbeddedSts\EmbeddedStsConfiguration.cs,FederatedAuthentication_FederationConfigurationCreated,The length of the statement  "                config.IdentityConfiguration.CertificateValidationMode = System.ServiceModel.Security.X509CertificateValidationMode.None; " is 121.
Long Statement,Thinktecture.IdentityModel.EmbeddedSts,EmbeddedStsConfiguration,C:\repos\IdentityModel_Thinktecture.IdentityModel\source\EmbeddedSts\EmbeddedStsConfiguration.cs,ConfigureWIF,The length of the statement  "            config.IdentityConfiguration.CertificateValidationMode = System.ServiceModel.Security.X509CertificateValidationMode.None; " is 121.
Complex Conditional,Thinktecture.IdentityModel.EmbeddedSts,EmbeddedStsModule,C:\repos\IdentityModel_Thinktecture.IdentityModel\source\EmbeddedSts\EmbeddedStsModule.cs,ConfigureFam,The conditional expression  "(req.IsSecureConnection && req.Url.Port != 443) ||                  (!req.IsSecureConnection && req.Url.Port != 80)"  is complex.
Magic Number,Thinktecture.IdentityModel.EmbeddedSts,EmbeddedStsModule,C:\repos\IdentityModel_Thinktecture.IdentityModel\source\EmbeddedSts\EmbeddedStsModule.cs,ConfigureFam,The following statement contains a magic number: if ((req.IsSecureConnection && req.Url.Port != 443) ||                  (!req.IsSecureConnection && req.Url.Port != 80))              {                  stsurl += ":" + req.Url.Port;              }
Magic Number,Thinktecture.IdentityModel.EmbeddedSts,EmbeddedStsModule,C:\repos\IdentityModel_Thinktecture.IdentityModel\source\EmbeddedSts\EmbeddedStsModule.cs,ConfigureFam,The following statement contains a magic number: if ((req.IsSecureConnection && req.Url.Port != 443) ||                  (!req.IsSecureConnection && req.Url.Port != 80))              {                  stsurl += ":" + req.Url.Port;              }
