Architecture smell,Project,Namespace,Cause
Unstable Dependency,J6.DevFw.Web,J6.DevFw.Web,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): J6.DevFw.Web.Plugin
Feature Concentration,J6.DevFw.Web,J6.DevFw.Web.Cache.Compoment,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CacheSign]' [BasicCache' ICache' CacheBase' DependCache]' [CmsCacheUtility]' [ICacheUpdatePolicy]. LCC (Lack of Component Cohesion) = 0.57
