Architecture smell,Project,Namespace,Cause
Cyclic Dependency,J6.DevFw.Core,J6.DevFw.Framework,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: J6.DevFw.Framework' J6.DevFw
Unstable Dependency,J6.DevFw.Core,J6.DevFw,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): J6.DevFw.Framework
Feature Concentration,J6.DevFw.Core,J6.DevFw.Framework.Web.UI,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [VerifyWordOptions' VerifyCode]' [FileUpload' UploadFileInfo]' [Page]' [PagingFlag' IPagingGetter' DefaultPageingGetter' CustomPagingGetter' UrlPager' UrlPaging]. LCC (Lack of Component Cohesion) = 0.36
