Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SampleConsole,StatefulConsoleModeCommand,C:\repos\fschwiet_ManyConsole\SampleConsole\StatefulConsoleModeCommand.cs,GetNextCommands,The length of the statement  "            return new ConsoleCommand[] {new GetTimeCommand()' new MattsCommand()' new DumpEmlFilesCommand()' new DumpEmlFilesCommand()}; " is 125.
Long Statement,MC.AX.DataUtility,ExampleCommand,C:\repos\fschwiet_ManyConsole\SampleConsole\ExampleCommand.cs,Run,The length of the statement  "            Console.WriteLine(@"Called Example command - Argument1 = ""{0}"" Argument2 = ""{1}"" BooleanOption: {2}"' Argument1' Argument2' BooleanOption); " is 143.
Long Statement,MC.AX.DataUtility,ExampleCommand,C:\repos\fschwiet_ManyConsole\SampleConsole\ExampleCommand.cs,Run,The length of the statement  "            OptionalArgumentList.ForEach((item) => Console.WriteLine(@"List Item {0} = ""{1}"""' OptionalArgumentList.IndexOf(item)' item)); " is 128.
Magic Number,MC.AX.DataUtility,ExampleCommand,C:\repos\fschwiet_ManyConsole\SampleConsole\ExampleCommand.cs,ExampleCommand,The following statement contains a magic number: HasAdditionalArguments(2' "<Argument1> <Argument2>");
