Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,WPFCustomMessageBox,CustomMessageBox,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBox.cs,ShowOKCancel,The method has 5 parameters. Parameters: messageBoxText' caption' okButtonText' cancelButtonText' icon
Long Parameter List,WPFCustomMessageBox,CustomMessageBox,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBox.cs,ShowYesNo,The method has 5 parameters. Parameters: messageBoxText' caption' yesButtonText' noButtonText' icon
Long Parameter List,WPFCustomMessageBox,CustomMessageBox,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBox.cs,ShowYesNoCancel,The method has 5 parameters. Parameters: messageBoxText' caption' yesButtonText' noButtonText' cancelButtonText
Long Parameter List,WPFCustomMessageBox,CustomMessageBox,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBox.cs,ShowYesNoCancel,The method has 6 parameters. Parameters: messageBoxText' caption' yesButtonText' noButtonText' cancelButtonText' icon
Long Statement,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/WPFCustomMessageBox;component/custommessageboxwindow.xaml"' System.UriKind.Relative); " is 131.
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Magic Number,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
Missing Default,WPFCustomMessageBox,CustomMessageBoxWindow,C:\repos\evanwon_WPFCustomMessageBox\source\WPFCustomMessageBox\CustomMessageBoxWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.Image_MessageBox = ((System.Windows.Controls.Image)(target));              return;              case 2:              this.TextBlock_Message = ((System.Windows.Controls.TextBlock)(target));              return;              case 3:              this.Button_Cancel = ((System.Windows.Controls.Button)(target));                            #line 30 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Cancel.Click += new System.Windows.RoutedEventHandler(this.Button_Cancel_Click);                            #line default              #line hidden              return;              case 4:              this.Label_Cancel = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Button_No = ((System.Windows.Controls.Button)(target));                            #line 37 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_No.Click += new System.Windows.RoutedEventHandler(this.Button_No_Click);                            #line default              #line hidden              return;              case 6:              this.Label_No = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.Button_Yes = ((System.Windows.Controls.Button)(target));                            #line 44 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_Yes.Click += new System.Windows.RoutedEventHandler(this.Button_Yes_Click);                            #line default              #line hidden              return;              case 8:              this.Label_Yes = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.Button_OK = ((System.Windows.Controls.Button)(target));                            #line 51 "..\..\..\CustomMessageBoxWindow.xaml"              this.Button_OK.Click += new System.Windows.RoutedEventHandler(this.Button_OK_Click);                            #line default              #line hidden              return;              case 10:              this.Label_Ok = ((System.Windows.Controls.Label)(target));              return;              }
