Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
OsFeatureCheck,0,0,3,0,0,46,0,0,0,-1,0,2
Windows7,0,1,0,0,1,18,2,0,0,-1,2,1
SafeNativeMethods,0,1,0,0,0,10,1,0,0,-1,0,1
