Implementation smell,Namespace,Class,File,Method,Description
Long Statement,oradbsc.Integration,OracleTestHelper,D:\research\architectureSmells\repos\LHCGreg_dbsc\oradbsc.Integration\OracleTestHelper.cs,DropTableIfExists,The length of the statement  "            string existsSql = string.Format("SELECT count(*) AS c FROM USER_TABLES WHERE TABLE_NAME = '{0}'"' tableName.ToUpperInvariant()); " is 129.
Magic Number,oradbsc.Integration,OracleTestHelper,D:\research\architectureSmells\repos\LHCGreg_dbsc\oradbsc.Integration\OracleTestHelper.cs,GetDbConnection,The following statement contains a magic number: builder.DataSource = dbsc.Oracle.OraDbscDbConnection.GetDataSourceString("localhost"' 1521' dbName);
