Implementation smell,Namespace,Class,File,Method,Description
Missing Default,SnoopLogo,BlogLogoWindow,D:\research\architectureSmells\repos\cplotts_snoopwpf\SnoopLogo\SnoopLogo\BlogLogoWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.LayoutRoot = ((System.Windows.Controls.Grid)(target));              return;              }
Missing Default,SnoopLogo,CodePlexLogoWindow,D:\research\architectureSmells\repos\cplotts_snoopwpf\SnoopLogo\SnoopLogo\CodePlexLogoWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.LayoutRoot = ((System.Windows.Controls.Grid)(target));              return;              }
