Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Rhino.ServiceBus.Autofac,AutofacBuilder,C:\repos\hibernating-rhinos_rhino-esb\Rhino.ServiceBus.Autofac\AutofacBuilder.cs,RegisterAll,The length of the statement  "{ RegisterAll<T>((Predicate<Type>)(x => !x.IsAbstract && !x.IsInterface && typeof(T).IsAssignableFrom(x) && !excludes.Contains(x))); }" is 134.
Long Statement,Rhino.ServiceBus,AutofacServiceLocator,C:\repos\hibernating-rhinos_rhino-esb\Rhino.ServiceBus.Autofac\AutofacServiceLocator.cs,GetAllHandlersFor,The length of the statement  "            return services.Select(service => (IHandler)new DefaultHandler(type' service.ServiceType' () => container.ResolveService(service))); " is 132.
Long Statement,Rhino.ServiceBus,ConsumerInterceptorModule,C:\repos\hibernating-rhinos_rhino-esb\Rhino.ServiceBus.Autofac\ConsumerInterceptorModule.cs,AttachToComponentRegistration,The length of the statement  "                    consumerInterceptor.ItemCreated(e.Instance.GetType()' e.Component.Lifetime.GetType().Equals(typeof(CurrentScopeLifetime))); " is 123.
