Implementation smell,Namespace,Class,File,Method,Description
Long Statement,VLASaveLog,EntryPoint,C:\repos\PureIso_VisualLearningAssistant\Extensions\VLASaveLog\EntryPoint.cs,SaveLog,The length of the statement  "		MessageBox.Show ("Log information saved successfully!"' "Visual Learning Assistant"' MessageBoxButton.OK' MessageBoxImage.Information); " is 135.
Magic Number,VLASaveLog,EntryPoint,C:\repos\PureIso_VisualLearningAssistant\Extensions\VLASaveLog\EntryPoint.cs,SaveLog,The following statement contains a magic number: try {  	_hostLogger ("Saving log information...."' LogType.Info);  	RichTextBox richTextBox = _hostLogger (null' LogType.None);  	TextRange textRange = new TextRange (richTextBox.Document.ContentStart' richTextBox.Document.ContentEnd);  	MemoryStream ms = new MemoryStream ();  	textRange.Save (ms' DataFormats.Text);  	string path = "Log-" + DateTime.Today.ToString ().Replace ("/"' "-").Remove (11) + ".txt";  	FileStream file = new FileStream (path' FileMode.Create' FileAccess.Write);  	file.Write (ms.ToArray ()' 0' ms.ToArray ().Length);  	file.Close ();  	ms.Close ();  	_hostLogger ("Log information saved Successful."' LogType.Info);  	MessageBox.Show ("Log information saved successfully!"' "Visual Learning Assistant"' MessageBoxButton.OK' MessageBoxImage.Information);  }  catch (Exception e) {  	_hostLogger ("Save Error: " + e.Message' LogType.Error);  	MessageBox.Show (e.Message' "Visual Learning Assistant"' MessageBoxButton.OK' MessageBoxImage.Information);  }  
