Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WebEye.StreamControl.Wpf,StreamControl,D:\research\architectureSmells\repos\jacobbo_WebEye\WebEye.StreamControl.Wpf\StreamControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/WebEye.StreamControl.Wpf;component/streamcontrol.xaml"' System.UriKind.Relative); " is 127.
Missing Default,WebEye.StreamControl.Wpf,StreamControl,D:\research\architectureSmells\repos\jacobbo_WebEye\WebEye.StreamControl.Wpf\StreamControl.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this._image = ((System.Windows.Controls.Image)(target));              return;              }
