Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,GetAuthUrl,The length of the statement  "			Assert.AreEqual (Meli.AuthUrls.MLA+"/authorization?response_type=code&client_id=123456&redirect_uri=http%3a%2f%2fsomeurl.com"' m.GetAuthUrl (Meli.AuthUrls.MLA' "http://someurl.com")); " is 183.
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,GetAuthUrl,The following statement contains a magic number: Meli m = new Meli (123456' "client secret");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,AuthorizationSuccess,The following statement contains a magic number: Meli m = new Meli (123456' "secret client");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,AuthorizationFailure,The following statement contains a magic number: Meli m = new Meli (123456' "secret client");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,Get,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "valid token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,GetWithRefreshToken,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "expired token"' "valid refresh token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,HandleErrors,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "invalid token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,Post,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "valid token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,PostWithRefreshToken,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "expired token"' "valid refresh token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,Put,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "valid token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,PutWithRefreshToken,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "expired token"' "valid refresh token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,Delete,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "valid token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,DeleteWithRefreshToken,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "expired token"' "valid refresh token");
Magic Number,MercadoLibre.SDK.Test,MeliTest,D:\research\architectureSmells\repos\mercadolibre_net-sdk\SDKTest\MeliTest.cs,TestUserAgent,The following statement contains a magic number: Meli m = new Meli (123456' "client secret"' "expired token"' "valid refresh token");
