Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Geta.oEmbed,oEmbedApi,C:\repos\Geta_oEmbed\Geta.oEmbed\oEmbedApi.cs,BuildUrl,The length of the statement  "		endpoint = UriSupport.AddQueryString (endpoint' "maxheight"' options.MaxHeight.ToString (CultureInfo.InvariantCulture)); " is 120.
Long Statement,Geta.oEmbed,oEmbedApi,C:\repos\Geta_oEmbed\Geta.oEmbed\oEmbedApi.cs,BuildUrl,The length of the statement  "	if (Configuration.oEmbedSettings.Settings == null || string.IsNullOrEmpty (Configuration.oEmbedSettings.Settings.ApiKey)) " is 121.
Long Statement,Geta.oEmbed,oEmbedResponse,C:\repos\Geta_oEmbed\Geta.oEmbed\oEmbedResponse.cs,RenderMarkup,The length of the statement  "		return "<img src=\"" + HttpUtility.UrlPathEncode (this.Url) + "\" width=\"" + HttpUtility.HtmlEncode (this.Width) + "\" height=\"" + HttpUtility.HtmlEncode (this.Height) + "\" alt=\"" + HttpUtility.HtmlEncode (this.Title) + "\" />"; " is 232.
