Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Mosa.Tool.Disassembler.Intel,Program,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Disassembler.Intel\Program.cs,Main,The length of the statement  "				//using (var disasm = new SharpDisasm.Disassembler(code' ArchitectureMode.x86_32' options.StartingAddress' true' Vendor.Any' options.FileOffset)) " is 145.
Long Statement,Mosa.Tool.Disassembler.Intel,Program,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Disassembler.Intel\Program.cs,Main,The length of the statement  "				using (var disasm = new SharpDisasm.Disassembler(code' ArchitectureMode.x86_32' options.StartingAddress' true' Vendor.Any)) " is 123.
