Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Mosa.Tool.Compiler,Options,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Compiler\Options.cs,SelectArchitecture,The length of the statement  "				case "x86": return Mosa.Platform.x86.Architecture.CreateArchitecture(Mosa.Platform.x86.ArchitectureFeatureFlags.AutoDetect); " is 124.
Long Statement,Mosa.Tool.Compiler,Options,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Compiler\Options.cs,SelectArchitecture,The length of the statement  "				case "x64": return Mosa.Platform.x64.Architecture.CreateArchitecture(Mosa.Platform.x64.ArchitectureFeatureFlags.AutoDetect); " is 124.
Long Statement,Mosa.Tool.Compiler,Options,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Compiler\Options.cs,SelectArchitecture,The length of the statement  "				case "armv8a32": return Mosa.Platform.ARMv8A32.Architecture.CreateArchitecture(Mosa.Platform.ARMv8A32.ArchitectureFeatureFlags.AutoDetect); " is 139.
Long Statement,Mosa.Tool.Compiler,Options,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Compiler\Options.cs,SelectArchitecture,The length of the statement  "				default: throw new NotImplementCompilerException(string.Format("Unknown or unsupported Architecture {0}."' architecture)); " is 122.
Long Statement,Mosa.Tool.Compiler,Options,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Tool.Compiler\Options.cs,GetMultibootSpecification,The length of the statement  "				default: throw new NotImplementCompilerException(string.Format("Unknown or unsupported MultibootSpecification {0}."' format)); " is 126.
