Method,LOC,CC,PC
FileCheckpointReader:OpenIfExists,13,3,0
FileCheckpointReader:Read,7,2,0
FileCheckpointReader:ReadAsync,7,2,1
FileCheckpointReader:Dispose,10,5,0
FileCheckpointWriter:FileCheckpointWriter,3,1,1
FileCheckpointWriter:GetOrInitPosition,19,4,0
FileCheckpointWriter:Update,6,1,1
FileCheckpointWriter:ReadPositionVolatile,3,1,0
FileCheckpointWriter:Dispose,10,5,0
IVolatileCheckpointVectorAccess:ReadPositionVolatile,1,1,0
FileCheckpointArrayWriter:FileCheckpointArrayWriter,5,1,2
FileCheckpointArrayWriter:GetOrInitPosition,22,6,0
FileCheckpointArrayWriter:Update,8,2,1
FileCheckpointArrayWriter:ReadPositionVolatile,3,1,0
FileCheckpointArrayWriter:Dispose,9,5,0
FilePageReader:FilePageReader,3,1,1
FilePageReader:DownloadRangeToStream,10,2,3
FilePageReader:DownloadRangeToStreamAsync,10,2,3
FilePageReader:OpenStreamIfNeeded,10,3,0
FilePageReader:Dispose,13,5,0
FilePageWriter:Init,10,2,0
FilePageWriter:NextSize,6,1,1
FilePageWriter:EnsureSize,11,3,1
FilePageWriter:ReadPage,6,1,1
FilePageWriter:Save,5,1,2
FilePageWriter:SaveAsync,5,1,3
FilePageWriter:GetMaxCommitSize,3,1,0
FilePageWriter:GetPageSize,3,1,0
FilePageWriter:FilePageWriter,3,1,1
FilePageWriter:Dispose,9,4,0
FileSetup:CreateAndInitWriter,6,1,2
FileSetup:CreateWriterRaw,12,2,2
FileSetup:GetReader,4,1,2
FileSetup:GetReaderRaw,12,2,2
FileSetup:MessageFetcher,7,1,3
FixedCheckpointArrayReader:FixedCheckpointArrayReader,3,1,1
FixedCheckpointArrayReader:ReadPositionVolatile,3,1,0
RecyclableMemoryStreamManager:RecyclableMemoryStreamManager,2,1,0
RecyclableMemoryStreamManager:RecyclableMemoryStreamManager,27,6,3
RecyclableMemoryStreamManager:GetBlock,16,3,0
RecyclableMemoryStreamManager:GetLargeBuffer,34,6,2
RecyclableMemoryStreamManager:RoundToLargeBufferMultiple,3,1,1
RecyclableMemoryStreamManager:IsLargeBufferMultiple,3,1,1
RecyclableMemoryStreamManager:ReturnLargeBuffer,32,8,2
RecyclableMemoryStreamManager:ReturnBlocks,27,8,2
RecyclableMemoryStreamManager:ReportStreamCreated,5,2,0
RecyclableMemoryStreamManager:ReportStreamDisposed,5,2,0
RecyclableMemoryStreamManager:ReportStreamFinalized,5,2,0
RecyclableMemoryStreamManager:ReportStreamLength,5,2,1
RecyclableMemoryStreamManager:ReportStreamToArray,5,2,0
RecyclableMemoryStreamManager:GetStream,3,1,0
RecyclableMemoryStreamManager:GetStream,3,1,1
RecyclableMemoryStreamManager:GetStream,3,1,2
RecyclableMemoryStreamManager:GetStream,6,2,3
RecyclableMemoryStreamManager:GetStream,6,1,4
IMemoryStreamManager:GetStream,1,1,1
IMemoryStreamManager:GetStream,1,1,2
