Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Web.Installers,WindsorInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\WindsorInstaller.cs,Install,The length of the parameter compositeModelValidatorProvider is 31.
Long Statement,Web.App_Start,BundleConfig,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\App_Start\BundleConfig.cs,RegisterBundles,The length of the statement  "	bundles.Add (new ScriptBundle ("~/bundles/jqueryval").Include ("~/Scripts/jquery.unobtrusive*"' "~/Scripts/jquery.validate*")); " is 127.
Long Statement,Web.App_Start,BundleConfig,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\App_Start\BundleConfig.cs,RegisterBundles,The length of the statement  "	bundles.Add (new StyleBundle ("~/Content/themes/base/css").Include ("~/Content/themes/base/jquery.ui.core.css"' "~/Content/themes/base/jquery.ui.resizable.css"' "~/Content/themes/base/jquery.ui.selectable.css"' "~/Content/themes/base/jquery.ui.accordion.css"' "~/Content/themes/base/jquery.ui.autocomplete.css"' "~/Content/themes/base/jquery.ui.button.css"' "~/Content/themes/base/jquery.ui.dialog.css"' "~/Content/themes/base/jquery.ui.slider.css"' "~/Content/themes/base/jquery.ui.tabs.css"' "~/Content/themes/base/jquery.ui.datepicker.css"' "~/Content/themes/base/jquery.ui.progressbar.css"' "~/Content/themes/base/jquery.ui.theme.css")); " is 641.
Long Statement,Web,MvcApplication,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Global.asax.cs,RegisterProfiles,The length of the statement  "	EnumerableExtensions.Each (typeof(UserProfile).Assembly.GetTypes ().Where (x => typeof(Profile).IsAssignableFrom (x))' x => Mapper.AddProfile ((Profile)Activator.CreateInstance (x))); " is 183.
Long Statement,Web.Installers,AccountInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\AccountInstaller.cs,Install,The length of the statement  "	container.Register (Component.For<IAuthenticationService> ().ImplementedBy<FormsAuthenticationService> ().LifestyleTransient ()' Component.For<IContextUserProvider> ().ImplementedBy<ContextUserProvider> ().LifestyleTransient ()); " is 229.
Long Statement,Web.Installers,CommandsInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\CommandsInstaller.cs,Install,The length of the statement  "	var commands = Types.FromAssemblyNamed (Config.CommandsAssemblyName).BasedOn (typeof(ICommand<>)).WithService.AllInterfaces ().LifestyleTransient (); " is 149.
Long Statement,Web.Installers,CommandsInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\CommandsInstaller.cs,Install,The length of the statement  "	container.Register (commands' Component.For<ICommandBuilder> ().ImplementedBy<CommandBuilder> ().LifestyleTransient ()' Component.For<ICommandFactory> ().AsFactory ().LifestyleTransient ()); " is 190.
Long Statement,Web.Installers,ControllersInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\ControllersInstaller.cs,Install,The length of the statement  "	container.Register (Classes.FromAssemblyContaining<AccountController> ().BasedOn<IController> ().LifestyleTransient ()); " is 120.
Long Statement,Web.Installers,FormHandlersInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\FormHandlersInstaller.cs,Install,The length of the statement  "	var formHandlers = Types.FromAssemblyContaining<SignInHandler> ().BasedOn (typeof(IFormHandler<>)).WithService.AllInterfaces ().LifestyleTransient (); " is 150.
Long Statement,Web.Installers,NHibernateInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\NHibernateInstaller.cs,Install,The length of the statement  "	container.Register (Component.For<INHibernateInitializer> ().ImplementedBy<NHibernateInitializer> ()' Component.For<ISessionProvider> ().ImplementedBy<PerRequestSessionProvider> ().LifestylePerWebRequest ()' Component.For (typeof(IRepository<>)).ImplementedBy (typeof(NHibernateRepository<>)).LifestylePerWebRequest ()' Component.For<ILinqProvider> ().ImplementedBy<NHibernateLinqProvider> ().LifestylePerWebRequest ()' Component.For<ISessionFactory> ().UsingFactoryMethod (x => x.Resolve<INHibernateInitializer> ().GetConfiguration ().BuildSessionFactory ())); " is 561.
Long Statement,Web.Installers,QueryInstaller,F:\newReposMay17\AlexanderByndyu_ByndyuSoft.Infrastructure\samples\aspnetmvc4\src\Web\Installers\QueryInstaller.cs,Install,The length of the statement  "	var queries = Types.FromAssemblyNamed (Config.QueriesAssemblyName).BasedOn (typeof(IQuery<' >)).WithService.AllInterfaces ().LifestyleTransient (); " is 147.
