Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,CreateServiceReference,The length of the statement  "                        throw new Exception("Unrecognized response from server. Please check if have provided the correct base URL for a ServiceStack API."); " is 133.
Long Statement,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ServiceStackVS.NativeTypesWizard;component/addservicestackreference.xaml"' System.UriKind.Relative); " is 146.
Long Statement,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The length of the statement  "            ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded); " is 138.
Long Statement,ServiceStackVS.NativeTypesWizard,NativeTypesWizard,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\NativeTypesWizard.cs,RunStarted,The length of the statement  "                var typesHandler = NativeTypesHandlers.Where(x => x.Key.EqualsIgnoreCase(nativeTypeName)).Select(x => x.Value).FirstOrDefault(); " is 128.
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,SubmitAddRefStats,The following statement contains a magic number: if (dte != null)              {                  bool optOutOfStats = dte.GetOptOutStatsSetting();                  if (!optOutOfStats)                  {                      var langName = typesHandler.RelativeTypesUrl.Substring(6);                      Analytics.SubmitAnonymousAddReferenceUsage(langName);                  }              }              else              {                  OutputWindowWriter.WriterWindow.WriteLine("Warning: Failed to resolve DTE");              }
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 7 "..\..\AddServiceStackReference.xaml"              ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.UrlTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 31 "..\..\AddServiceStackReference.xaml"              this.UrlTextBox.TextChanged += new System.Windows.Controls.TextChangedEventHandler(this.UrlTextBox_OnTextChanged);                            #line default              #line hidden              return;              case 3:              this.FileNameTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 38 "..\..\AddServiceStackReference.xaml"              this.FileNameTextBox.GotFocus += new System.Windows.RoutedEventHandler(this.FileNameTextBox_GotFocus);                            #line default              #line hidden              return;              case 4:              this.TypeScriptCheckbox = ((System.Windows.Controls.CheckBox)(target));                            #line 44 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Checked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnChecked);                            #line default              #line hidden                            #line 45 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Unchecked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnUnchecked);                            #line default              #line hidden              return;              case 5:              this.ReferenceProgressBar = ((System.Windows.Controls.ProgressBar)(target));              return;              case 6:              this.ErrorMessageBox = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 7:              this.ErrorMessage = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.OkButton = ((System.Windows.Controls.Button)(target));                            #line 55 "..\..\AddServiceStackReference.xaml"              this.OkButton.Click += new System.Windows.RoutedEventHandler(this.ButtonBase_OnClick);                            #line default              #line hidden              return;              case 9:              this.CancelButton = ((System.Windows.Controls.Button)(target));                            #line 56 "..\..\AddServiceStackReference.xaml"              this.CancelButton.Click += new System.Windows.RoutedEventHandler(this.CancelButton_OnClick);                            #line default              #line hidden              return;              }
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 7 "..\..\AddServiceStackReference.xaml"              ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.UrlTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 31 "..\..\AddServiceStackReference.xaml"              this.UrlTextBox.TextChanged += new System.Windows.Controls.TextChangedEventHandler(this.UrlTextBox_OnTextChanged);                            #line default              #line hidden              return;              case 3:              this.FileNameTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 38 "..\..\AddServiceStackReference.xaml"              this.FileNameTextBox.GotFocus += new System.Windows.RoutedEventHandler(this.FileNameTextBox_GotFocus);                            #line default              #line hidden              return;              case 4:              this.TypeScriptCheckbox = ((System.Windows.Controls.CheckBox)(target));                            #line 44 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Checked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnChecked);                            #line default              #line hidden                            #line 45 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Unchecked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnUnchecked);                            #line default              #line hidden              return;              case 5:              this.ReferenceProgressBar = ((System.Windows.Controls.ProgressBar)(target));              return;              case 6:              this.ErrorMessageBox = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 7:              this.ErrorMessage = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.OkButton = ((System.Windows.Controls.Button)(target));                            #line 55 "..\..\AddServiceStackReference.xaml"              this.OkButton.Click += new System.Windows.RoutedEventHandler(this.ButtonBase_OnClick);                            #line default              #line hidden              return;              case 9:              this.CancelButton = ((System.Windows.Controls.Button)(target));                            #line 56 "..\..\AddServiceStackReference.xaml"              this.CancelButton.Click += new System.Windows.RoutedEventHandler(this.CancelButton_OnClick);                            #line default              #line hidden              return;              }
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 7 "..\..\AddServiceStackReference.xaml"              ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.UrlTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 31 "..\..\AddServiceStackReference.xaml"              this.UrlTextBox.TextChanged += new System.Windows.Controls.TextChangedEventHandler(this.UrlTextBox_OnTextChanged);                            #line default              #line hidden              return;              case 3:              this.FileNameTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 38 "..\..\AddServiceStackReference.xaml"              this.FileNameTextBox.GotFocus += new System.Windows.RoutedEventHandler(this.FileNameTextBox_GotFocus);                            #line default              #line hidden              return;              case 4:              this.TypeScriptCheckbox = ((System.Windows.Controls.CheckBox)(target));                            #line 44 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Checked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnChecked);                            #line default              #line hidden                            #line 45 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Unchecked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnUnchecked);                            #line default              #line hidden              return;              case 5:              this.ReferenceProgressBar = ((System.Windows.Controls.ProgressBar)(target));              return;              case 6:              this.ErrorMessageBox = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 7:              this.ErrorMessage = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.OkButton = ((System.Windows.Controls.Button)(target));                            #line 55 "..\..\AddServiceStackReference.xaml"              this.OkButton.Click += new System.Windows.RoutedEventHandler(this.ButtonBase_OnClick);                            #line default              #line hidden              return;              case 9:              this.CancelButton = ((System.Windows.Controls.Button)(target));                            #line 56 "..\..\AddServiceStackReference.xaml"              this.CancelButton.Click += new System.Windows.RoutedEventHandler(this.CancelButton_OnClick);                            #line default              #line hidden              return;              }
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 7 "..\..\AddServiceStackReference.xaml"              ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.UrlTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 31 "..\..\AddServiceStackReference.xaml"              this.UrlTextBox.TextChanged += new System.Windows.Controls.TextChangedEventHandler(this.UrlTextBox_OnTextChanged);                            #line default              #line hidden              return;              case 3:              this.FileNameTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 38 "..\..\AddServiceStackReference.xaml"              this.FileNameTextBox.GotFocus += new System.Windows.RoutedEventHandler(this.FileNameTextBox_GotFocus);                            #line default              #line hidden              return;              case 4:              this.TypeScriptCheckbox = ((System.Windows.Controls.CheckBox)(target));                            #line 44 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Checked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnChecked);                            #line default              #line hidden                            #line 45 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Unchecked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnUnchecked);                            #line default              #line hidden              return;              case 5:              this.ReferenceProgressBar = ((System.Windows.Controls.ProgressBar)(target));              return;              case 6:              this.ErrorMessageBox = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 7:              this.ErrorMessage = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.OkButton = ((System.Windows.Controls.Button)(target));                            #line 55 "..\..\AddServiceStackReference.xaml"              this.OkButton.Click += new System.Windows.RoutedEventHandler(this.ButtonBase_OnClick);                            #line default              #line hidden              return;              case 9:              this.CancelButton = ((System.Windows.Controls.Button)(target));                            #line 56 "..\..\AddServiceStackReference.xaml"              this.CancelButton.Click += new System.Windows.RoutedEventHandler(this.CancelButton_OnClick);                            #line default              #line hidden              return;              }
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 7 "..\..\AddServiceStackReference.xaml"              ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.UrlTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 31 "..\..\AddServiceStackReference.xaml"              this.UrlTextBox.TextChanged += new System.Windows.Controls.TextChangedEventHandler(this.UrlTextBox_OnTextChanged);                            #line default              #line hidden              return;              case 3:              this.FileNameTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 38 "..\..\AddServiceStackReference.xaml"              this.FileNameTextBox.GotFocus += new System.Windows.RoutedEventHandler(this.FileNameTextBox_GotFocus);                            #line default              #line hidden              return;              case 4:              this.TypeScriptCheckbox = ((System.Windows.Controls.CheckBox)(target));                            #line 44 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Checked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnChecked);                            #line default              #line hidden                            #line 45 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Unchecked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnUnchecked);                            #line default              #line hidden              return;              case 5:              this.ReferenceProgressBar = ((System.Windows.Controls.ProgressBar)(target));              return;              case 6:              this.ErrorMessageBox = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 7:              this.ErrorMessage = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.OkButton = ((System.Windows.Controls.Button)(target));                            #line 55 "..\..\AddServiceStackReference.xaml"              this.OkButton.Click += new System.Windows.RoutedEventHandler(this.ButtonBase_OnClick);                            #line default              #line hidden              return;              case 9:              this.CancelButton = ((System.Windows.Controls.Button)(target));                            #line 56 "..\..\AddServiceStackReference.xaml"              this.CancelButton.Click += new System.Windows.RoutedEventHandler(this.CancelButton_OnClick);                            #line default              #line hidden              return;              }
Magic Number,ServiceStackVS.NativeTypesWizard,AddServiceStackReference,C:\repos\ServiceStack_ServiceStackVS\src\ServiceStackVS.NativeTypesWizard\AddServiceStackReference.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 7 "..\..\AddServiceStackReference.xaml"              ((ServiceStackVS.NativeTypesWizard.AddServiceStackReference)(target)).Loaded += new System.Windows.RoutedEventHandler(this.Window_Loaded);                            #line default              #line hidden              return;              case 2:              this.UrlTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 31 "..\..\AddServiceStackReference.xaml"              this.UrlTextBox.TextChanged += new System.Windows.Controls.TextChangedEventHandler(this.UrlTextBox_OnTextChanged);                            #line default              #line hidden              return;              case 3:              this.FileNameTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 38 "..\..\AddServiceStackReference.xaml"              this.FileNameTextBox.GotFocus += new System.Windows.RoutedEventHandler(this.FileNameTextBox_GotFocus);                            #line default              #line hidden              return;              case 4:              this.TypeScriptCheckbox = ((System.Windows.Controls.CheckBox)(target));                            #line 44 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Checked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnChecked);                            #line default              #line hidden                            #line 45 "..\..\AddServiceStackReference.xaml"              this.TypeScriptCheckbox.Unchecked += new System.Windows.RoutedEventHandler(this.TypeScriptCheckbox_OnUnchecked);                            #line default              #line hidden              return;              case 5:              this.ReferenceProgressBar = ((System.Windows.Controls.ProgressBar)(target));              return;              case 6:              this.ErrorMessageBox = ((System.Windows.Controls.ScrollViewer)(target));              return;              case 7:              this.ErrorMessage = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.OkButton = ((System.Windows.Controls.Button)(target));                            #line 55 "..\..\AddServiceStackReference.xaml"              this.OkButton.Click += new System.Windows.RoutedEventHandler(this.ButtonBase_OnClick);                            #line default              #line hidden              return;              case 9:              this.CancelButton = ((System.Windows.Controls.Button)(target));                            #line 56 "..\..\AddServiceStackReference.xaml"              this.CancelButton.Click += new System.Windows.RoutedEventHandler(this.CancelButton_OnClick);                            #line default              #line hidden              return;              }
