Architecture smell,Project,Namespace,Cause
Unstable Dependency,YacqSilverlight,XSpect.Yacq.Dynamic,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): XSpect.Yacq.Expressions
Unstable Dependency,YacqSilverlight,XSpect.Yacq.Expressions,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): XSpect.Yacq.Serialization' XSpect.Yacq
Unstable Dependency,YacqSilverlight,XSpect.Yacq,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): XSpect.Yacq.SystemObjects
Unstable Dependency,YacqSilverlight,XSpect.Yacq.Symbols,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): XSpect.Yacq
God Component,YacqSilverlight,XSpect.Yacq.Serialization,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 136
Feature Concentration,YacqSilverlight,XSpect,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Flows]' [Disposables]' [Enumerables]' [Arrays]' [Lists]' [Dictionaries]' [Strings]. LCC (Lack of Component Cohesion) = 1
Feature Concentration,YacqSilverlight,XSpect.Yacq.Dynamic,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [YacqBinaryOperationBinder]' [YacqBinder' YacqConvertBinder]' [YacqGetIndexBinder]' [YacqGetMemberBinder]' [YacqInvokeBinder]' [YacqInvokeMemberBinder]' [YacqSetIndexBinder]' [YacqSetMemberBinder]' [YacqUnaryOperationBinder]. LCC (Lack of Component Cohesion) = 0.9
Scattered Functionality,YacqSilverlight,XSpect.Yacq.Dynamic,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: XSpect.Yacq' XSpect.Yacq.Expressions
Scattered Functionality,YacqSilverlight,XSpect.Yacq.Dynamic,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: XSpect.Yacq' XSpect.Yacq.Expressions' XSpect
Scattered Functionality,YacqSilverlight,XSpect.Yacq.Expressions,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: XSpect.Yacq' XSpect
