Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,Cyclomatic complexity of the method is 15
Long Statement,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The length of the statement  "		OutputUsageAndClose ("Specify an application name included in the configuration file 'Tarantino.Deployer.Console.exe.config'"); " is 127.
Long Statement,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The length of the statement  "			OutputUsageAndClose (string.Format ("Specify an environment included in the configuration file 'Tarantino.Deployer.Console.exe.config' for application '{0}'"' selectedApplication.Name)); " is 186.
Long Statement,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The length of the statement  "				var result = PackageDownloader.DownloadAndExtract (selectedApplication.Name' selectedEnvironment.Name' versionNumber' selectedApplication.Url' selectedApplication.ZipFile' selectedApplication.Username' selectedApplication.Password); " is 232.
Long Statement,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The length of the statement  "				var version = recorder.RecordDeployment (selectedApplication.Name' selectedEnvironment.Name' _buildOutput.ToString ()' result.Version' _buildFailed); " is 149.
Long Statement,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The length of the statement  "				var deployments = uncertifiedDeployments.Where (d => d.Version == requestedVersion).OrderByDescending (d => d.DeployedOn); " is 122.
Long Statement,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The length of the statement  "					OutputUsageAndClose ("When certifying a deployment' you must specify a valid deployment that has not already been certified"); " is 126.
Magic Number,Tarantino.Deployer.Console,Program,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\Program.cs,Main,The following statement contains a magic number: if (args.Length != 4) {  	OutputUsageAndClose ("Supply the correct number of command line arguments");  }  
Magic Number,Tarantino.Deployer.Console,SimpleProcessCaller,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\SimpleProcessCaller.cs,ExecuteProcess,The following statement contains a magic number: while (!_process.HasExited) {  	Thread.Sleep (1000);  }  
Magic Number,Tarantino.Deployer.Console,SimpleProcessCaller,C:\repos\HeadspringLabs_Tarantino\src\Tarantino.Deployer.Console\SimpleProcessCaller.cs,ExecuteProcess,The following statement contains a magic number: Thread.Sleep (1000);  
