Implementation smell,Namespace,Class,File,Method,Description
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,All,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Any,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,AnyEmbedded,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Create,The length of the statement  "            new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 306.
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Delete,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Save,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Service,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,Creation,The length of the statement  "            Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 126.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,GetPluginsAvailable,The length of the statement  "            var Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 130.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPlugin,The length of the statement  "            var Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 130.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPlugin,The length of the statement  "            Assert.Equal("xUnit.net is a developer testing framework' built to support Test Driven Development' with a design goal of extreme simplicity and alignment with framework features."' TempPlugin.Description); " is 206.
