Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Utilities.Configuration.Manager.BaseClasses,Config,F:\newReposMay17\JaCraig_Craig-s-Utility-Library\Utilities.Configuration\Configuration\Manager\BaseClasses\Config.cs,Decrypt,The following statement contains a magic number: using (PasswordDeriveBytes Temp = new PasswordDeriveBytes (EncryptionPassword' "Kosher".ToByteArray ()' "SHA1"' 2)) {  	foreach (KeyValuePair<string' object> Item in this.Where (x => x.Value.GetType () == typeof(string))) {  		SetValue (Item.Key' ((string)Item.Value).Decrypt (Temp));  	}  }  
Magic Number,Utilities.Configuration.Manager.BaseClasses,Config,F:\newReposMay17\JaCraig_Craig-s-Utility-Library\Utilities.Configuration\Configuration\Manager\BaseClasses\Config.cs,Encrypt,The following statement contains a magic number: using (PasswordDeriveBytes Temp = new PasswordDeriveBytes (EncryptionPassword' "Kosher".ToByteArray ()' "SHA1"' 2)) {  	foreach (KeyValuePair<string' object> Item in this.Where (x => x.Value.GetType () == typeof(string))) {  		SetValue (Item.Key' ((string)Item.Value).Encrypt (Temp));  	}  }  
