Implementation smell,Namespace,Class,File,Method,Description
Complex Method,De4DotGUI,MainForm,C:\repos\InforgeNet_De4DotGUI\De4Dot-GUI\MainForm.cs,btnWork_Click,Cyclomatic complexity of the method is 8
Long Statement,De4DotGUI,MainForm,C:\repos\InforgeNet_De4DotGUI\De4Dot-GUI\MainForm.cs,btnSearchInput_Click,The length of the statement  "		txtOutput.Text = match.Groups.Count > 0 ? String.Format ("{0}_de4dot{1}"' match.Groups ["filename"].Value' match.Groups ["extension"].Value) : String.Format ("{0}_de4dot"' filename); " is 182.
Long Statement,De4DotGUI,MainForm,C:\repos\InforgeNet_De4DotGUI\De4Dot-GUI\MainForm.cs,btnWork_Click,The length of the statement  "		MessageBox.Show ("Output file must be different from input file!"' "Error!"' MessageBoxButtons.OK' MessageBoxIcon.Error); " is 121.
Long Statement,De4DotGUI,MainForm,C:\repos\InforgeNet_De4DotGUI\De4Dot-GUI\MainForm.cs,btnWork_Click,The length of the statement  "		MessageBox.Show (exeName + " not found! de4dot must be in the same directory of this program."' "Error!"' MessageBoxButtons.OK' MessageBoxIcon.Error); " is 150.
Long Statement,De4DotGUI,MainForm,C:\repos\InforgeNet_De4DotGUI\De4Dot-GUI\MainForm.cs,btnWork_Click,The length of the statement  "		txtOut.AppendText (String.Format ("=== START NEW DEOBFUSCATION ==={0}{0}Command: {1}{0}Output:{0}"' "\r\n"' String.Format ("{0} {1}"' exeName' arguments))); " is 156.
Long Statement,De4DotGUI,MainForm,C:\repos\InforgeNet_De4DotGUI\De4Dot-GUI\MainForm.cs,btnWork_Click,The length of the statement  "		MessageBox.Show ("This program must be in the same folder of de4dot"' "Err0r!"' MessageBoxButtons.OK' MessageBoxIcon.Error); " is 124.
