Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "AddressId"' "AddressID"' false' "Int"' 0' 10' 0' true' "SCOPE_IDENTITY()"' null' typeof(System.Int32)' 0); " is 152.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "AddressLine1"' "AddressLine1"' false' "NVarChar"' 60' 0' 0' false' ""' null' typeof(System.String)' 1); " is 149.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "AddressLine2"' "AddressLine2"' true' "NVarChar"' 60' 0' 0' false' ""' null' typeof(System.String)' 2); " is 148.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "City"' "City"' false' "NVarChar"' 30' 0' 0' false' ""' null' typeof(System.String)' 3); " is 133.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "ModifiedDate"' "ModifiedDate"' false' "DateTime"' 0' 0' 0' false' ""' null' typeof(System.DateTime)' 4); " is 150.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "PostalCode"' "PostalCode"' false' "NVarChar"' 15' 0' 0' false' ""' null' typeof(System.String)' 5); " is 145.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "Rowguid"' "rowguid"' false' "UniqueIdentifier"' 0' 0' 0' false' ""' null' typeof(System.Guid)' 6); " is 144.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "SpatialLocation"' "SpatialLocation"' true' "Udt"' 0' 0' 0' false' ""' null' typeof(Microsoft.SqlServer.Types.SqlGeography)' 7); " is 173.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressEntity"' "StateProvinceId"' "StateProvinceID"' false' "Int"' 0' 10' 0' false' ""' null' typeof(System.Int32)' 8); " is 149.
Long Statement,AdventureWorks.Dal.Adapter.v53.DatabaseSpecific,PersistenceInfoProviderCore,C:\repos\FransBouma_RawDataAccessBencher\LLBLGen53\DatabaseSpecific\PersistenceInfoProvider.cs,InitAddressTypeEntityMappings,The length of the statement  "			this.AddElementFieldMapping("AddressTypeEntity"' "AddressTypeId"' "AddressTypeID"' false' "Int"' 0' 10' 0' true' "SCOPE_IDENTITY()"' null' typeof(System.Int32)' 0); " is 164.
