Architecture smell,Project,Namespace,Cause
Cyclic Dependency,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.EntityClasses,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: AdventureWorks.Dal.Adapter.v52.EntityClasses' AdventureWorks.Dal.Adapter.v52.FactoryClasses
Cyclic Dependency,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.FactoryClasses,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: AdventureWorks.Dal.Adapter.v52.FactoryClasses' AdventureWorks.Dal.Adapter.v52.HelperClasses
Unstable Dependency,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.FactoryClasses,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): AdventureWorks.Dal.Adapter.v52.EntityClasses
Unstable Dependency,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.HelperClasses,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): AdventureWorks.Dal.Adapter.v52.FactoryClasses
Unstable Dependency,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.RelationClasses,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): AdventureWorks.Dal.Adapter.v52.FactoryClasses' AdventureWorks.Dal.Adapter.v52.HelperClasses
Unstable Dependency,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.TypedViewClasses,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): AdventureWorks.Dal.Adapter.v52.FactoryClasses
God Component,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 73
God Component,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.EntityClasses,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
God Component,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.FactoryClasses,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 75
God Component,AdventureWorks.Dal.Adapter.v52,AdventureWorks.Dal.Adapter.v52.HelperClasses,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 78
