Implementation smell,Namespace,Class,File,Method,Description
Magic Number,TrafficLightsSample,TrafficLight,C:\repos\dotnetprojects_DynamicDataDisplay\src\DevSamples\TrafficLightsSample\TrafficLight.cs,TrafficLight,The following statement contains a magic number: steps = new List<LightStep> {  	new LightStep {  		Duration = TimeSpan.FromSeconds (5)'  		Red = Brushes.Red  	}'  	new LightStep {  		Duration = TimeSpan.FromSeconds (1)'  		Red = Brushes.Red'  		Yellow = Brushes.Yellow  	}'  	new LightStep {  		Duration = TimeSpan.FromSeconds (5)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromSeconds (1)'  		Yellow = Brushes.Yellow  	}  };  
Magic Number,TrafficLightsSample,TrafficLight,C:\repos\dotnetprojects_DynamicDataDisplay\src\DevSamples\TrafficLightsSample\TrafficLight.cs,TrafficLight,The following statement contains a magic number: steps = new List<LightStep> {  	new LightStep {  		Duration = TimeSpan.FromSeconds (5)'  		Red = Brushes.Red  	}'  	new LightStep {  		Duration = TimeSpan.FromSeconds (1)'  		Red = Brushes.Red'  		Yellow = Brushes.Yellow  	}'  	new LightStep {  		Duration = TimeSpan.FromSeconds (5)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)  	}'  	new LightStep {  		Duration = TimeSpan.FromMilliseconds (greenFlash)'  		Green = Brushes.Green  	}'  	new LightStep {  		Duration = TimeSpan.FromSeconds (1)'  		Yellow = Brushes.Yellow  	}  };  
