Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DynamicPointAddSample,Window1,C:\repos\dotnetprojects_DynamicDataDisplay\src\Samples\Simple\DynamicPointAddSample\Window1.xaml.cs,Window1_Loaded,The length of the statement  "	// again switching off approximate content bounds' comparison - now in coercion method of Viewport2D.ContentBounds attached dependency property. " is 144.
Magic Number,DynamicPointAddSample,Window1,C:\repos\dotnetprojects_DynamicDataDisplay\src\Samples\Simple\DynamicPointAddSample\Window1.xaml.cs,Window1_Loaded,The following statement contains a magic number: for (int i = 0; i < 10000; i++) {  	AddNextPoint ();  }  
