Implementation smell,Namespace,Class,File,Method,Description
Long Method,Winium.Silverlight.InnerServer,Automator,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Automator.cs,ProcessCommand,The method has 113 lines of code.
Complex Method,Winium.Silverlight.InnerServer,Automator,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Automator.cs,ProcessCommand,Cyclomatic complexity of the method is 24
Complex Method,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,IsUserVisible,Cyclomatic complexity of the method is 8
Long Statement,Winium.Silverlight.InnerServer,AutomationServer,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\AutomationServer.cs,WriteConnectionData,The length of the statement  "            var file = await ApplicationData.Current.TemporaryFolder.CreateFileAsync(ConnectionInformation.FileName' CreationCollisionOption.ReplaceExisting); " is 146.
Long Statement,Winium.Silverlight.InnerServer.Commands,AlertCommand,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\AlertCommand.cs,DoImpl,The length of the statement  "                var element = (FrameworkElement)Finder.GetDescendantsBy(popupChild' new By("name"' buttonName)).FirstOrDefault() as Button; " is 123.
Long Statement,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinatesInView,The length of the statement  "            return boundsInView.IsEmpty ? center : new Point(boundsInView.X + (int)(boundsInView.Width / 2)' boundsInView.Y + (int)(boundsInView.Height / 2)); " is 146.
Long Statement,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetProvider,The length of the statement  "            throw new AutomationException(string.Format("Element does not support {0} control pattern interface."' typeof(T).Name)); " is 120.
Magic Number,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinates,The following statement contains a magic number: var center = new Point(point.X + (int)(element.ActualWidth / 2)' point.Y + (int)(element.ActualHeight / 2));
Magic Number,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinates,The following statement contains a magic number: var center = new Point(point.X + (int)(element.ActualWidth / 2)' point.Y + (int)(element.ActualHeight / 2));
Magic Number,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinatesInView,The following statement contains a magic number: var center = new Point(point.X + (int)(element.ActualWidth / 2)' point.Y + (int)(element.ActualHeight / 2));
Magic Number,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinatesInView,The following statement contains a magic number: var center = new Point(point.X + (int)(element.ActualWidth / 2)' point.Y + (int)(element.ActualHeight / 2));
Magic Number,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinatesInView,The following statement contains a magic number: return boundsInView.IsEmpty ? center : new Point(boundsInView.X + (int)(boundsInView.Width / 2)' boundsInView.Y + (int)(boundsInView.Height / 2));
Magic Number,Winium.Silverlight.InnerServer.Commands,FrameworkElementExtensions,D:\research\architectureSmells\repos\2gis_windows-universal-app-driver\Winium\Winium.Silverlight.InnerServer\Commands\FrameworkElementExtensions.cs,GetCoordinatesInView,The following statement contains a magic number: return boundsInView.IsEmpty ? center : new Point(boundsInView.X + (int)(boundsInView.Width / 2)' boundsInView.Y + (int)(boundsInView.Height / 2));
