Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSqlWithOptions,The method has 25 parameters. Parameters: inputString' reFormat' indent' spacesPerTab' maxLineWidth' statementBreaks' clauseBreaks' expandCommaLists' trailingCommas' spaceAfterExpandedComma' expandBooleanExpressions' expandCaseStatements' expandBetweenConditions' breakJoinOnSections' uppercaseKeywords' coloring' keywordStandardization' useParseErrorPlaceholder' obfuscate' randomizeColor' randomizeLineLengths' randomizeKeywordCase' preserveComments' enableKeywordSubstitution' expandInLists
Long Statement,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSqlWithOptions,The length of the statement  "                formatter = new PoorMansTSqlFormatterLib.Formatters.TSqlStandardFormatter(new PoorMansTSqlFormatterLib.Formatters.TSqlStandardFormatterOptions " is 142.
Long Statement,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSqlWithFormatter,The length of the statement  "                PoorMansTSqlFormatterLib.SqlFormattingManager fullFormatter = new PoorMansTSqlFormatterLib.SqlFormattingManager(new PoorMansTSqlFormatterLib.Formatters.HtmlPageWrapper(formatter)); " is 180.
Complex Conditional,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSqlWithFormatter,The conditional expression  "string.IsNullOrEmpty(allowedHost)                  || (Context.Request.UrlReferrer != null                      && Context.Request.UrlReferrer.Host != null                      && Context.Request.UrlReferrer.Host.Equals(allowedHost)                      )"  is complex.
Magic Number,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSql,The following statement contains a magic number: return FormatTSqlWithOptions(                  inputString'                   true'                   "\t"'                   4'                   999'  				2'  				1'                  true'                   false'                   false'                   true'                   true'                   true'                  false'                  true'                   true'                   false'                  false'                  false'                  false'                  false'                  false'                  false'                  false'  				true                  );
Magic Number,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSql,The following statement contains a magic number: return FormatTSqlWithOptions(                  inputString'                   true'                   "\t"'                   4'                   999'  				2'  				1'                  true'                   false'                   false'                   true'                   true'                   true'                  false'                  true'                   true'                   false'                  false'                  false'                  false'                  false'                  false'                  false'                  false'  				true                  );
Magic Number,PoorMansTSqlFormatterWebDemo,FormatterService,C:\repos\TaoK_PoorMansTSqlFormatter\PoorMansTSqlFormatterWebDemo\FormatterService.asmx.cs,FormatTSql,The following statement contains a magic number: return FormatTSqlWithOptions(                  inputString'                   true'                   "\t"'                   4'                   999'  				2'  				1'                  true'                   false'                   false'                   true'                   true'                   true'                  false'                  true'                   true'                   false'                  false'                  false'                  false'                  false'                  false'                  false'                  false'  				true                  );
